ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
93.117.217.57,8000000903007411b2a6dc00,16,4248520,9,007411b2a6dc00
89.20.89.6,80001f8880306407099950dd67,1,5796190,8072,No Mac indication (0x03)
92.68.183.143,8000000903004cec0f5b6000,6,11411326,9,004cec0f5b6000
139.28.200.102,800000090300f04a02818600,16,32672932,9,00f04a02818600
145.94.40.1,80000009030020cfae8437a0,20,36943032,9,0020cfae8437a0
94.101.104.107,80000009030078baf9c2efaf,5,3033691,9,0078baf9c2efaf
94.208.116.255,800000090300f8b7e2057400,20,28304584,9,00f8b7e2057400
87.209.132.1,502660000000010030000137,3,59612574,1344692224,not_set
87.195.0.11,8000000903648f3e5e01f0,0,0,9,648f3e5e01f0
87.236.2.216,800000090300bc5a566ca900,8,18431053,9,00bc5a566ca900
93.117.206.185,800000090300802dbf701b00,14,63650132,9,00802dbf701b00
87.209.196.1,502660000000010030001009,2,60200517,1344692224,not_set
92.65.190.49,800000090300a03d6f1001c6,2,24218144,9,00a03d6f1001c6
92.65.51.137,80000009030000fcba9550cc,2,30237076,9,0000fcba9550cc
109.109.96.143,80000009030028affd10b000,16,11125010,9,0028affd10b000
93.117.225.19,800033870370fc8c58a300,0,0,13191,70fc8c58a300
92.68.46.165,800000090300a00f37fe9300,12,12727957,9,00a00f37fe9300
89.20.93.115,800000090300ecbd1d981566,3,142224528,9,00ecbd1d981566
93.158.213.241,80001f8804443137324a5032,45,849115,8072,No Mac indication (0x03)
92.110.179.105,80000b2f05b0c2877902bf33,1,2297068,2863,No Mac indication (0x03)
95.97.113.114,80001f8880acf20e69190f3f67,3,3513778,8072,No Mac indication (0x03)
109.109.106.192,800000090300a84fb1b2df80,14,33324102,9,00a84fb1b2df80
145.131.99.194,00000009020000024b7d8d6f,15,30866073,9,not_set
145.94.44.1,80000009030020cfae843840,14,36943005,9,0020cfae843840
145.131.197.247,8000000903007c0ece45d6c0,1,32350795,9,007c0ece45d6c0
145.131.247.139,00000009020000024b7d8d6f,11,4330284,9,not_set
109.235.34.111,0000000903008478ac4278d7,32,39363193,9,not_set
87.236.0.204,800000090300e4387e612900,12,27583683,9,00e4387e612900
91.223.124.46,800000090300005056be1487,6,31484447,9,00005056be1487
94.103.148.176,8000000903000005740fb2bc,8,191952886,9,000005740fb2bc
145.131.120.153,800000090300006bf1f3c98e,1,2449017,9,00006bf1f3c98e
92.110.58.0,8000000903000029c2017000,8,30808637,9,000029c2017000
109.109.100.185,0000000903002cf89b94e0be,5,42819061,9,not_set
145.145.34.6,800000090300246c848e89a0,16,7145911,9,00246c848e89a0
145.145.10.18,800063a2805c8a384d39b200000001,4,106955795,25506,No Mac indication (0x03)
93.117.238.166,800007db03d8109fc2eda0,29,25326573,2011,d8109fc2eda0
94.228.139.45,800000090300a80c0df1cf50,15,121488798,9,00a80c0df1cf50
91.102.208.0,800000090300d4789b474600,6,40689458,9,00d4789b474600
94.142.212.249,80000009030000260b7a5c62,10,172247950,9,0000260b7a5c62
94.209.123.236,80000b2f05d0b2c426f5f133,1,2766155,2863,No Mac indication (0x03)
139.122.218.17,80000009030000876444ba80,20,23379773,9,0000876444ba80
145.131.104.239,00000009020000024b7d8d6f,8,58328231,9,not_set
145.131.151.81,8000000903006c8d77dcef80,16,5454619,9,006c8d77dcef80
92.68.161.38,80002225032cb8eda79a50,14,3632709,8741,2cb8eda79a50
94.209.10.0,800000090300285261293c00,9,30119129,9,00285261293c00
92.65.70.61,800000090300005d73e96264,1,19883609,9,00005d73e96264
93.117.232.81,8000000903006c0309aa0280,18,22984792,9,006c0309aa0280
145.131.161.53,80000009030084b802824560,5,91057617,9,0084b802824560
93.191.2.31,8000000903002c33119eaf80,8,119809946,9,002c33119eaf80
93.92.29.233,8000000903003c13ccee2680,17,71349664,9,003c13ccee2680
134.19.179.85,80000a4c030c599c5c7100,4,55461393,2636,0c599c5c7100
109.107.176.117,80001f8880e237df27a073136300000000,31,1193333,8072,No Mac indication (0x03)
95.211.95.129,80003a8c04,0,0,invalid,invalid
86.109.13.39,7e3b03496d3e6cf2eef7dff843a7f7525e90f6620ef05bff0a54ed4cf08604c1,65,19307556,2117796681,not_set
95.155.190.20,800000090300a411bb249700,2,26454754,9,00a411bb249700
144.178.249.128,8000000903006cb2aed2130d,3,22483115,9,006cb2aed2130d
94.208.13.255,800000090300848a8df19400,8,28474079,9,00848a8df19400
94.209.36.83,8000124c05acd1b854830733,230,1594845,4684,No Mac indication (0x03)
95.99.102.1,502660000000010030000065,9,48863942,1344692224,not_set
144.178.81.32,800000090300dc8c37d81b00,12,90046288,9,00dc8c37d81b00
109.235.39.8,80000009030000077d45ed50,3,26121892,9,0000077d45ed50
92.66.135.233,80000009030070db98a19230,5,3367640,9,0070db98a19230
144.178.234.48,800000090300cc167ea5d5db,4,4921098,9,00cc167ea5d5db
151.236.147.28,800000090300e4c722e8b11d,4,9012860,9,00e4c722e8b11d
93.117.250.237,800033870370fc8c160dfc,0,0,13191,70fc8c160dfc
89.20.90.12,80001f888062dd381a65bd596000000000,4,72511756,8072,No Mac indication (0x03)
94.209.2.158,80000b2f05b0c287e21a0433,1,191665,2863,No Mac indication (0x03)
93.117.226.113,800033870370fc8c1614fc,0,0,13191,70fc8c1614fc
95.97.7.212,80001f88800762abb6674ec634,1,15137673,8072,No Mac indication (0x03)
91.238.154.130,80000009030027e3b19220,0,0,9,0027e3b19220
93.184.103.108,800000090300b08bcf3ac300,8,6358392,9,00b08bcf3ac300
94.190.200.83,80001f88800bb67e5867d6b211,1,6230996,8072,No Mac indication (0x03)
87.236.5.253,8000000903007c210ecb7700,19,3014374,9,007c210ecb7700
145.94.62.255,80000009030044ae25363ae0,15,36941325,9,0044ae25363ae0
91.215.7.194,80000009030058ac786cd000,15,57676881,9,0058ac786cd000
145.128.243.106,80000009ee005c5ac76e63cf,7,41565819,9,No Mac indication (0x03)
94.208.96.25,8000124c05889ffad1f16c33,115,2461663,4684,No Mac indication (0x03)
93.117.238.137,80000009030024d79c3c0600,6,27120557,9,0024d79c3c0600
91.213.190.254,8000000903a8b456f663f6,0,0,9,a8b456f663f6
