IP,Enterprise Code,MAC,Vendor
82.74.210.99,2863.0,No Mac indication (0x03),Thomson Inc.
80.65.118.100,9.0,0084b802ee3fbc,ciscoSystems
80.249.213.232,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
81.173.73.127,9.0,00ac4a67829980,ciscoSystems
77.251.167.104,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.3.1,nan,invalid,
80.249.210.36,1991.0,748ef8a73fc0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
81.30.44.246,9.0,008c941fcef780,ciscoSystems
82.72.15.0,9.0,006c13d5219000,ciscoSystems
81.23.245.143,9.0,not_set,ciscoSystems
77.248.14.0,9.0,0034f8e758c000,ciscoSystems
82.101.250.149,2863.0,No Mac indication (0x03),Thomson Inc.
80.113.98.15,9.0,000059dc465e01,ciscoSystems
80.114.223.132,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.69.78,9.0,000006f669f1df,ciscoSystems
80.112.197.149,9.0,00d009c8d68300,ciscoSystems
77.248.81.68,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.151.47.66,14823.0,not_set,"Aruba, a Hewlett Packard Enterprise company"
80.231.152.145,942682160.0,not_set,
81.173.124.33,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
77.250.238.255,9.0,0000a289267000,ciscoSystems
80.113.248.60,9.0,00148473ed3e00,ciscoSystems
80.249.214.179,nan,invalid,
80.65.107.25,9.0,00cc46d61eb216,ciscoSystems
81.173.54.41,9.0,00ecce13be5680,ciscoSystems
80.112.219.254,9.0,00000c298d009f,ciscoSystems
80.113.248.31,9.0,00148473ec3400,ciscoSystems
80.57.69.255,9.0,0000ebd5ed6800,ciscoSystems
81.171.73.134,1970372420.0,No Mac indication (0x03),
77.250.241.1,9.0,00d4ad710dc800,ciscoSystems
82.174.159.1,1344692224.0,not_set,
81.173.51.207,9.0,00c44d84bf0a80,ciscoSystems
81.173.56.113,9.0,00d47798186400,ciscoSystems
81.171.65.67,1970372420.0,No Mac indication (0x03),
80.113.1.80,9.0,00084fa98acf80,ciscoSystems
82.72.67.166,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.4.112.125,9.0,004800b32c9880,ciscoSystems
80.112.246.141,9.0,007411b2a83700,ciscoSystems
80.113.177.23,9.0,005cb12e091300,ciscoSystems
81.29.193.78,9.0,0000df1d7e3700,ciscoSystems
80.113.70.93,9.0,00d009c8d65a00,ciscoSystems
79.142.64.213,8072.0,No Mac indication (0x03),net-snmp
80.115.182.0,9.0,000029c2006800,ciscoSystems
79.141.165.136,8072.0,No Mac indication (0x03),net-snmp
80.246.203.45,9.0,00a4530ea78900,ciscoSystems
80.113.98.89,9.0,00ac3a6728fe80,ciscoSystems
82.139.79.0,9.0,not_set,ciscoSystems
80.79.203.3,9.0,00001f9e6bdec0,ciscoSystems
82.74.210.0,9.0,00285261fac400,ciscoSystems
80.249.209.104,9.0,not_set,ciscoSystems
81.93.52.1,9.0,d0e0428e3340,ciscoSystems
80.255.242.46,9.0,00a4530ea78900,ciscoSystems
82.74.222.99,2863.0,No Mac indication (0x03),Thomson Inc.
80.111.141.65,8595.0,not_set,"HITRON Technology, Inc."
82.101.249.255,9.0,00285261291c00,ciscoSystems
80.113.232.91,8072.0,No Mac indication (0x03),net-snmp
80.113.232.27,8072.0,No Mac indication (0x03),net-snmp
81.173.77.111,9.0,002c33111fdf20,ciscoSystems
80.65.121.66,9.0,00f86bd9e23600,ciscoSystems
80.112.126.162,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.54.199,9.0,00706d15414990,ciscoSystems
81.92.186.0,9.0,00e4aa5dc51d4a,ciscoSystems
82.174.148.0,1344692224.0,not_set,
82.151.48.39,9.0,0000260b7a09dd,ciscoSystems
80.231.152.193,9.0,00002f5c7dde20,ciscoSystems
80.113.98.63,9.0,00084fa9394a80,ciscoSystems
81.173.52.197,9.0,not_set,ciscoSystems
81.4.117.105,9.0,00000ab8ced60c,ciscoSystems
81.173.49.248,9.0,00a00f37ff8000,ciscoSystems
81.173.53.16,9.0,not_set,ciscoSystems
80.239.152.49,9.0,002436da22fe00,ciscoSystems
80.113.47.64,9.0,0080276c1cc580,ciscoSystems
78.140.165.2,9.0,00341b2d99aa80,ciscoSystems
82.74.229.70,2863.0,No Mac indication (0x03),Thomson Inc.
80.112.93.113,2863.0,No Mac indication (0x03),Thomson Inc.
80.114.120.0,9.0,00002790ff8000,ciscoSystems
80.113.65.111,9.0,00f4ee31f9e880,ciscoSystems
82.74.181.18,2863.0,No Mac indication (0x03),Thomson Inc.
80.113.232.28,8072.0,No Mac indication (0x03),net-snmp
80.115.94.255,9.0,000029c200ac00,ciscoSystems
81.175.120.63,9.0,00a0b439ed4600,ciscoSystems
80.113.248.152,9.0,005c64f1f38a00,ciscoSystems
82.94.215.129,6027.0,not_set,"Force10 Networks, Inc."
81.173.66.157,8072.0,No Mac indication (0x03),net-snmp
80.112.10.144,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.23.245.95,9.0,00d47798184680,ciscoSystems
81.30.34.227,9.0,003c13ccd98b00,ciscoSystems
80.113.65.220,9.0,005c3e067d9580,ciscoSystems
80.114.35.12,2863.0,No Mac indication (0x03),Thomson Inc.
80.112.74.0,9.0,00285261fb8400,ciscoSystems
79.143.209.129,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
82.72.128.0,9.0,007018a767a800,ciscoSystems
80.82.76.65,1970372420.0,No Mac indication (0x03),
82.101.206.223,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.113.101.185,9.0,000476b0d02f80,ciscoSystems
82.73.122.1,9.0,00002790ff8000,ciscoSystems
80.114.20.12,8072.0,No Mac indication (0x03),net-snmp
80.89.227.174,9.0,00d42c44f2d13d,ciscoSystems
80.113.9.211,9.0,003c510ef27300,ciscoSystems
80.56.189.38,nan,invalid,
82.75.218.1,9.0,006c410e8fb800,ciscoSystems
77.250.73.0,9.0,0000ebd5ec4400,ciscoSystems
81.173.125.143,9.0,0028940f48cc00,ciscoSystems
81.175.70.88,8072.0,No Mac indication (0x03),net-snmp
80.113.26.9,9.0,0024d79c379e00,ciscoSystems
80.115.51.1,9.0,0094d469545c00,ciscoSystems
77.250.132.0,9.0,0000ebd5ec4400,ciscoSystems
81.29.209.86,9.0,bc4a56af4f80,ciscoSystems
82.73.213.1,9.0,006c410e51c800,ciscoSystems
82.72.210.229,2863.0,No Mac indication (0x03),Thomson Inc.
80.115.90.0,9.0,006c13d5215000,ciscoSystems
81.173.67.17,9.0,0040b5c1c7e100,ciscoSystems
80.113.99.41,9.0,007cad4f9b8480,ciscoSystems
77.251.12.0,9.0,0000ebd5ec4400,ciscoSystems
80.249.209.71,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
81.171.32.8,1970372548.0,No Mac indication (0x03),
80.65.124.129,9.0,00a0b439fd4d00,ciscoSystems
80.65.119.22,9.0,000845d1cbf080,ciscoSystems
81.30.42.0,9.0,0000235d4cd103,ciscoSystems
80.112.99.0,9.0,0094d469545c00,ciscoSystems
81.30.42.40,9.0,0000235d4cd103,ciscoSystems
82.72.218.65,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.57.175,9.0,00b83861cb3850,ciscoSystems
81.201.96.125,9.0,002436dae8bc80,ciscoSystems
82.101.218.235,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.101.214.1,9.0,000029c200ac00,ciscoSystems
81.173.32.183,9.0,0040b5c1c7e100,ciscoSystems
80.114.255.247,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.76.65,9.0,not_set,ciscoSystems
80.113.99.31,9.0,005006ab7f4c83,ciscoSystems
81.173.63.49,9.0,00708105de6566,ciscoSystems
80.112.212.97,13191.0,70fc8c1610d0,OneAccess
81.173.58.52,9.0,00442b03975814,ciscoSystems
80.115.50.107,2863.0,No Mac indication (0x03),Thomson Inc.
82.151.54.2,8072.0,No Mac indication (0x03),net-snmp
81.93.55.93,9.0,d0e042adaf40,ciscoSystems
81.173.57.229,9.0,0070695addbb80,ciscoSystems
80.113.35.145,9.0,0078f1c68fae80,ciscoSystems
80.112.247.161,9.0,00802dbf861c00,ciscoSystems
81.30.47.63,9.0,0034ed1bdffa80,ciscoSystems
82.73.96.1,9.0,00285261fac000,ciscoSystems
77.251.175.255,9.0,0000a289267000,ciscoSystems
82.75.57.255,9.0,007018a767c000,ciscoSystems
80.57.11.255,9.0,0094d469541400,ciscoSystems
80.65.119.195,9.0,00e4aa5d261d6e,ciscoSystems
81.173.57.152,9.0,00d48cb5932aca,ciscoSystems
77.249.243.255,9.0,0000ebd5ec4400,ciscoSystems
80.115.62.0,9.0,00f8a73af0f400,ciscoSystems
80.249.212.191,9.0,0054a274bbcd00,ciscoSystems
80.56.97.255,9.0,0000a289267000,ciscoSystems
80.114.19.137,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.113.98.151,9.0,007cad4f784a00,ciscoSystems
80.115.139.233,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
79.99.129.98,1991.0,0012f29c3300,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
80.113.65.217,9.0,00d009c8d66f00,ciscoSystems
80.114.123.53,2863.0,No Mac indication (0x03),Thomson Inc.
82.74.239.0,9.0,006c410e51c800,ciscoSystems
81.173.54.216,9.0,006c0309ae40e0,ciscoSystems
82.151.54.199,9.0,0000260b7a09dd,ciscoSystems
80.113.23.30,9.0,00a03d6e242e00,ciscoSystems
82.74.128.255,9.0,006c13d5211800,ciscoSystems
80.242.245.145,9.0,0074ad98ca4700,ciscoSystems
81.173.125.104,9.0,not_set,ciscoSystems
80.115.7.0,9.0,0094d469545c00,ciscoSystems
80.113.232.74,8072.0,No Mac indication (0x03),net-snmp
82.151.48.173,12356.0,No Mac indication (0x03),"Fortinet, Inc."
81.171.17.150,8072.0,No Mac indication (0x03),net-snmp
81.173.57.9,9.0,not_set,ciscoSystems
81.173.51.143,9.0,not_set,ciscoSystems
77.251.178.1,9.0,00848a8df19400,ciscoSystems
80.113.47.160,9.0,003c510e610b00,ciscoSystems
81.173.98.217,9.0,005488de701f00,ciscoSystems
80.115.183.255,9.0,00848a8df1e400,ciscoSystems
81.173.65.97,9.0,00ac4a672dc180,ciscoSystems
77.250.151.255,9.0,0000ebd5ec4400,ciscoSystems
80.247.167.169,9.0,f80f6fe4c650,ciscoSystems
81.173.69.207,9.0,00b8a377945d80,ciscoSystems
82.101.203.125,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
78.108.130.210,9.0,00a4004ee35680,ciscoSystems
81.173.98.95,9.0,not_set,ciscoSystems
80.246.193.126,nan,invalid,
82.75.140.1,9.0,00f8a73af0f400,ciscoSystems
81.173.65.88,9.0,003c08f6b64ef2,ciscoSystems
80.113.6.208,9.0,00000832709f81,ciscoSystems
80.114.204.255,9.0,00d4ad710cbc00,ciscoSystems
80.115.160.205,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.174.240.255,1344692224.0,not_set,
82.101.244.95,2863.0,No Mac indication (0x03),Thomson Inc.
82.101.214.0,9.0,000029c200ac00,ciscoSystems
82.72.64.255,9.0,006c13d5219000,ciscoSystems
80.114.202.164,2863.0,No Mac indication (0x03),Thomson Inc.
78.152.32.62,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
80.115.75.0,9.0,00002790ff2800,ciscoSystems
80.113.232.108,8072.0,No Mac indication (0x03),net-snmp
82.75.95.215,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.173.99.165,9.0,not_set,ciscoSystems
80.67.33.186,4413.0,No Mac indication (0x03),Broadcom Limited
80.115.25.114,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.151.54.143,9.0,0000260b7a1d8b,ciscoSystems
81.24.105.15,9.0,not_set,ciscoSystems
79.141.165.134,8072.0,No Mac indication (0x03),net-snmp
80.113.248.10,9.0,0024d79c3b7b00,ciscoSystems
81.173.58.56,9.0,00c47d4f9186ee,ciscoSystems
80.113.248.75,9.0,005c64f184f800,ciscoSystems
81.171.92.245,1991.0,748ef8232a60,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
80.82.79.1,1970372420.0,No Mac indication (0x03),
80.113.19.88,9.0,00d0c7897f6083,ciscoSystems
80.113.99.160,9.0,000019e73ce183,ciscoSystems
