IP,Enterprise Code,MAC,Engine Time,Engine Boots,Vendor,Scan Date,Reboot Date
194.120.180.202,16378.0,00042d0806fc,3448.0,1.0,Sarian Systems Limited,06_02_12_09_05,06_02_2025_11_11_37
193.34.81.242,232.0,No Mac indication (0x03),1748856575.0,4.0,Compaq,06_02_12_09_05,01_01_1970_02_39_30
212.45.33.66,1634875438.0,not_set,100073896.0,2.0,unknown,06_02_12_09_05,04_01_2022_05_50_49
195.219.150.145,942682160.0,not_set,5708098.0,1298.0,unknown,06_02_12_09_05,03_28_2025_10_34_07
195.54.38.0,2352.0,No Mac indication (0x03),88732207.0,23.0,"Ericsson, Inc. (formerly 'RedBack Networks')",06_02_12_09_05,08_10_2022_12_18_58
194.171.108.193,25506.0,No Mac indication (0x03),255204198.0,1.0,H3C,06_02_12_09_05,05_01_2017_18_05_47
193.200.214.3,674.0,cc483adb6ecd,56668136.0,4.0,Dell Inc.,06_02_12_09_05,08_16_2023_15_00_09
193.200.214.2,674.0,cc483adb5b4d,102121053.0,4.0,Dell Inc.,06_02_12_09_05,03_08_2022_13_11_32
195.114.30.4,52642.0,649d99d1fd8b,86728320.0,44.0,FS.COM INC,06_02_12_09_05,09_02_2022_16_57_05
193.37.205.2,1588.0,No Mac indication (0x03),44214829.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_18_15_16
193.173.45.65,25506.0,No Mac indication (0x03),127455395.0,2.0,H3C,06_02_12_09_05,05_19_2021_07_52_30
193.34.81.180,232.0,No Mac indication (0x03),1748856676.0,16.0,Compaq,06_02_12_09_05,01_01_1970_02_37_49
193.187.191.74,1588.0,No Mac indication (0x03),10805689.0,5.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_10_34_16
194.171.108.249,25506.0,No Mac indication (0x03),240064003.0,1.0,H3C,06_02_12_09_05,10_23_2017_23_42_22
193.34.81.36,232.0,No Mac indication (0x03),1748856576.0,6.0,Compaq,06_02_12_09_05,01_01_1970_02_39_29
195.182.199.1,1970372352.0,No Mac indication (0x03),561707.0,18.0,unknown,06_02_12_09_05,05_27_2025_00_07_18
193.242.210.209,1970372544.0,No Mac indication (0x03),8610662.0,7.0,unknown,06_02_12_09_05,02_22_2025_20_18_03
212.7.201.186,12356.0,No Mac indication (0x03),2127274.0,1746729607.0,"Fortinet, Inc.",06_02_12_09_05,05_08_2025_21_14_31
193.187.189.225,1588.0,No Mac indication (0x03),70122174.0,6.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_13_2023_21_46_11
193.34.81.245,232.0,No Mac indication (0x03),1748831537.0,5.0,Compaq,06_02_12_09_05,01_01_1970_09_36_48
193.37.204.130,1588.0,No Mac indication (0x03),44214894.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_18_14_11
193.34.81.232,232.0,No Mac indication (0x03),1748856732.0,8.0,Compaq,06_02_12_09_05,01_01_1970_02_36_53
194.122.253.49,16378.0,00042d00eefa,2942443.0,162.0,Sarian Systems Limited,06_02_12_09_05,04_29_2025_10_48_22
193.38.244.35,232.0,No Mac indication (0x03),1748856754.0,6.0,Compaq,06_02_12_09_05,01_01_1970_02_36_31
193.187.191.49,1588.0,No Mac indication (0x03),44211288.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_19_14_17
194.171.191.250,25506.0,No Mac indication (0x03),152135567.0,2.0,H3C,06_02_12_09_05,08_06_2020_16_16_18
212.45.61.73,369629558.0,not_set,98442209.0,8.0,unknown,06_02_12_09_05,04_20_2022_03_05_36
195.182.25.103,20408.0,No Mac indication (0x03),24687.0,2.0,SNMP Laboratories (formerly 'pysnmp'),06_02_12_09_05,06_02_2025_05_17_38
194.171.108.89,25506.0,No Mac indication (0x03),255210616.0,1.0,H3C,06_02_12_09_05,05_01_2017_16_18_49
193.34.81.148,232.0,No Mac indication (0x03),1748856763.0,7.0,Compaq,06_02_12_09_05,01_01_1970_02_36_22
194.171.108.245,25506.0,No Mac indication (0x03),240064066.0,1.0,H3C,06_02_12_09_05,10_23_2017_23_41_19
193.242.211.249,1970372544.0,No Mac indication (0x03),8610715.0,7.0,unknown,06_02_12_09_05,02_22_2025_20_17_10
193.34.81.48,232.0,No Mac indication (0x03),1748856781.0,5.0,Compaq,06_02_12_09_05,01_01_1970_02_36_04
212.45.35.176,369629558.0,not_set,95412130.0,11.0,unknown,06_02_12_09_05,05_25_2022_04_46_55
193.242.211.45,1970372544.0,No Mac indication (0x03),8610725.0,7.0,unknown,06_02_12_09_05,02_22_2025_20_17_00
193.187.191.65,1588.0,No Mac indication (0x03),122954584.0,2.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,07_10_2021_10_06_01
193.187.191.10,1588.0,No Mac indication (0x03),10807359.0,4.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_10_06_26
193.34.81.225,232.0,No Mac indication (0x03),1748856780.0,14.0,Compaq,06_02_12_09_05,01_01_1970_02_36_05
193.34.81.57,232.0,No Mac indication (0x03),1748856428.0,6.0,Compaq,06_02_12_09_05,01_01_1970_02_41_57
193.187.189.217,1588.0,No Mac indication (0x03),10805805.0,5.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_10_32_20
193.34.81.189,232.0,No Mac indication (0x03),1748856815.0,5.0,Compaq,06_02_12_09_05,01_01_1970_02_35_30
194.171.108.205,25506.0,No Mac indication (0x03),255204370.0,1.0,H3C,06_02_12_09_05,05_01_2017_18_02_55
193.37.204.163,1588.0,No Mac indication (0x03),44211352.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_19_13_13
195.69.225.5,232.0,No Mac indication (0x03),1748856832.0,23.0,Compaq,06_02_12_09_05,01_01_1970_02_35_13
212.45.33.231,1634873911.0,not_set,94208182.0,3.0,unknown,06_02_12_09_05,06_08_2022_03_12_43
193.187.189.19,1588.0,No Mac indication (0x03),44211364.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_19_13_01
193.239.118.189,1224737025.0,not_set,38525068.0,8.0,unknown,06_02_12_09_05,03_13_2024_14_44_37
195.219.194.97,942682160.0,not_set,18677423.0,1653.0,unknown,06_02_12_09_05,10_29_2024_07_58_42
195.184.64.177,1991.0,748ef85b3600,10292978.0,790.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_12_09_05,02_03_2025_08_59_27
195.134.174.254,3224.0,No Mac indication (0x03),12786932.0,1.0,"NetScreen Technologies, Inc.",06_02_12_09_05,01_05_2025_12_13_33
195.133.39.1,1970372352.0,No Mac indication (0x03),3978681.0,3.0,unknown,06_02_12_09_05,04_17_2025_10_57_44
193.239.119.136,1970372564.0,No Mac indication (0x03),7703420.0,9.0,unknown,06_02_12_09_05,03_05_2025_08_18_45
195.219.150.144,942682160.0,not_set,5744514.0,1288.0,unknown,06_02_12_09_05,03_28_2025_00_27_11
195.219.194.109,942682160.0,not_set,9414332.0,1336.0,unknown,06_02_12_09_05,02_13_2025_13_03_33
195.54.39.0,2352.0,No Mac indication (0x03),88732422.0,23.0,"Ericsson, Inc. (formerly 'RedBack Networks')",06_02_12_09_05,08_10_2022_12_15_23
195.219.194.220,942682160.0,not_set,9414405.0,1314.0,unknown,06_02_12_09_05,02_13_2025_13_02_20
193.187.191.115,1588.0,No Mac indication (0x03),10805849.0,5.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_10_31_36
212.45.61.121,369629558.0,not_set,91789179.0,3.0,unknown,06_02_12_09_05,07_06_2022_03_09_26
193.187.189.242,1588.0,No Mac indication (0x03),70122307.0,6.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_13_2023_21_43_58
193.34.81.13,232.0,No Mac indication (0x03),1748856859.0,8.0,Compaq,06_02_12_09_05,01_01_1970_02_34_46
193.37.204.179,1588.0,No Mac indication (0x03),10805856.0,5.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_10_31_29
193.37.216.68,1970372420.0,No Mac indication (0x03),3462500.0,4.0,unknown,06_02_12_09_05,04_23_2025_10_20_45
194.171.108.93,25506.0,No Mac indication (0x03),255210730.0,1.0,H3C,06_02_12_09_05,05_01_2017_16_16_55
193.176.191.7,2334.0,not_set,503619.0,50.0,Packeteer Inc.,06_02_12_09_05,05_27_2025_16_15_26
194.171.108.149,25506.0,No Mac indication (0x03),255210740.0,1.0,H3C,06_02_12_09_05,05_01_2017_16_16_45
194.122.187.238,12356.0,No Mac indication (0x03),9012805.0,1739843917.0,"Fortinet, Inc.",06_02_12_09_05,02_18_2025_04_35_40
195.184.64.105,1991.0,00243898af00,21238208.0,66.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_12_09_05,09_29_2024_16_38_57
194.26.103.0,1588.0,No Mac indication (0x03),100283443.0,1.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,03_29_2022_19_38_22
193.200.214.1,674.0,cc483adb5b4d,102121280.0,4.0,Dell Inc.,06_02_12_09_05,03_08_2022_13_07_45
195.20.48.1,1970372352.0,No Mac indication (0x03),28060105.0,6.0,unknown,06_02_12_09_05,07_12_2024_17_40_40
193.187.191.9,1588.0,No Mac indication (0x03),10808620.0,5.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_28_2025_09_45_25
212.45.35.228,369629558.0,not_set,95414993.0,11.0,unknown,06_02_12_09_05,05_25_2022_03_59_12
193.34.81.76,232.0,No Mac indication (0x03),1748859631.0,6.0,Compaq,06_02_12_09_05,01_01_1970_01_48_34
194.120.149.48,10297.0,74fe4861e901,312313.0,1.0,"Advantech Co., Ltd.",06_02_12_09_05,05_29_2025_21_23_52
193.28.62.54,1970372352.0,No Mac indication (0x03),36590306.0,5.0,unknown,06_02_12_09_05,04_05_2024_00_10_39
195.169.90.57,25506.0,No Mac indication (0x03),107462033.0,4.0,H3C,06_02_12_09_05,01_05_2022_17_35_12
198.140.141.1,1970372392.0,No Mac indication (0x03),96427847.0,1.0,unknown,06_02_12_09_05,05_13_2022_10_38_18
193.187.189.27,1588.0,No Mac indication (0x03),44214220.0,0.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,01_07_2024_18_25_25
193.177.160.135,1991.0,002438635b00,8627881.0,122.0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')",06_02_12_09_05,02_22_2025_15_31_04
195.20.48.27,1970372604.0,No Mac indication (0x03),20822479.0,4.0,unknown,06_02_12_09_05,10_04_2024_12_07_46
193.37.206.2,1588.0,No Mac indication (0x03),122957528.0,2.0,"Brocade Communications Systems, Inc.",06_02_12_09_05,07_10_2021_09_16_57
