IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
109.235.35.45,800007db0340eeddb2fbaf,19,92297720,2011.0,40eeddb2fbaf,"HUAWEI Technology Co.,Ltd"
109.109.100.29,800000090300a84fb1b2df80,14,33845733,9.0,00a84fb1b2df80,ciscoSystems
94.101.104.29,8000000903002436da5b8980,6,17529392,9.0,002436da5b8980,ciscoSystems
109.109.106.28,800000090300b0c53ce4ad80,34,32455615,9.0,00b0c53ce4ad80,ciscoSystems
94.142.211.228,800000090300505c88691580,19,11426846,9.0,00505c88691580,ciscoSystems
109.109.120.171,00000009030040ce243ce160,572,16743,9.0,not_set,ciscoSystems
109.109.100.128,80000009030028affd10b000,16,11646644,9.0,0028affd10b000,ciscoSystems
94.211.156.0,800000090300002790fee000,8,27184302,9.0,00002790fee000,ciscoSystems
94.103.148.191,8000000903000005740fb2bc,8,192474517,9.0,000005740fb2bc,ciscoSystems
94.101.117.254,80000009036cb2ae601510,0,0,9.0,6cb2ae601510,ciscoSystems
94.211.64.1,800000090300f8a73af0f400,11,19135881,9.0,00f8a73af0f400,ciscoSystems
93.184.103.179,800000090300380e4d2be980,8,32607662,9.0,00380e4d2be980,ciscoSystems
94.211.177.184,8000124c0570188b22707533,196,765341,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
93.184.103.5,800000090300f80bcbe2bb80,27,8205397,9.0,00f80bcbe2bb80,ciscoSystems
95.155.190.86,800000090300a411bb249700,2,26976414,9.0,00a411bb249700,ciscoSystems
95.211.145.197,80001f8880f0e0fe4df51c526100000000,8,15647313,8072.0,No Mac indication (0x03),net-snmp
94.228.128.21,80000009030024e9b3e23d18,5,68659707,9.0,0024e9b3e23d18,ciscoSystems
94.209.242.255,8000000903006c410e152c00,9,32625997,9.0,006c410e152c00,ciscoSystems
94.209.127.255,8000000903000029c2018000,8,33229518,9.0,000029c2018000,ciscoSystems
95.99.83.129,80003a8c04,0,0,,invalid,
94.211.51.176,8000124c057077817ddab433,75,3204309,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
109.109.104.113,800000090300b0c53ce4ac80,10,31254914,9.0,00b0c53ce4ac80,ciscoSystems
95.155.190.32,800000090300a411bb249700,2,26976414,9.0,00a411bb249700,ciscoSystems
94.103.146.127,8000000903000005740fb2bc,8,192474553,9.0,000005740fb2bc,ciscoSystems
