IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
139.122.224.222,8000000903000081c44e9500,5,9507181,9,000081c44e9500,ciscoSystems
144.178.230.35,80000009030070df2ffa3b71,2,72406681,9,0070df2ffa3b71,ciscoSystems
144.178.233.110,800000090300bc26c7146dc1,4,19296523,9,00bc26c7146dc1,ciscoSystems
141.255.178.1,800000090300f8c650cdeb80,43,8324624,9,00f8c650cdeb80,ciscoSystems
141.138.151.188,80001f888081a5177488a4b56400000000,6,41847728,8072,No Mac indication (0x03),net-snmp
137.174.144.203,0000197f0000147bacb03abf,4,66856016,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.121.102,80001f8880e158311dd2ac6166,9,3363795,8072,No Mac indication (0x03),net-snmp
144.178.226.184,80000009030000fcba49f379,5,132901703,9,0000fcba49f379,ciscoSystems
139.28.202.33,800000090300c014fe135100,31,22748228,9,00c014fe135100,ciscoSystems
144.178.111.94,80000009030000fd22244595,5,13646726,9,0000fd22244595,ciscoSystems
144.178.226.208,80000009030070695a505fad,2,45877828,9,0070695a505fad,ciscoSystems
143.179.154.0,502660000000010030000120,6,49989814,1344692224,not_set,
137.59.11.1,666c6578626e67,0,0,1718379896,not_set,
143.179.102.1,502660000000010030000144,7,50163378,1344692224,not_set,
139.28.200.116,8000000903000081c4699080,15,11392023,9,000081c4699080,ciscoSystems
144.178.70.101,800000090300d4adbdfaf0c0,6,104475123,9,00d4adbdfaf0c0,ciscoSystems
137.174.145.91,0000197f0000147bacb03abf,4,66856050,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
143.179.107.255,502660000000010030000002,6,49295504,1344692224,not_set,
137.174.184.67,0000197f0000147bacb242bf,17,66854845,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.234.78,80000009030000f28bbc226d,5,12983355,9,0000f28bbc226d,ciscoSystems
137.174.153.137,0000197f000010e8780c5001,3,73719515,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
137.174.152.201,0000197f0000147bacad66bf,7,70709513,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
139.28.202.39,800000090300c014fe135100,31,22748285,9,00c014fe135100,ciscoSystems
144.178.225.60,8000000903002cf89bc90ee1,5,134799967,9,002cf89bc90ee1,ciscoSystems
139.28.201.77,800000090300d4eb68f09580,10,37057513,9,00d4eb68f09580,ciscoSystems
144.178.232.126,800000090300005d7326231f,1,79855388,9,00005d7326231f,ciscoSystems
136.144.204.94,80001f888007344f0a519f306800000000,2,761879,8072,No Mac indication (0x03),net-snmp
144.178.219.147,80000009030060735cbb9660,2,7436646,9,0060735cbb9660,ciscoSystems
139.92.185.136,800000090300000bfcdbb01b,9,19016133,9,00000bfcdbb01b,ciscoSystems
134.19.179.225,80000a4c030c599c5a1400,4,150062924,2636,0c599c5a1400,"Juniper Networks, Inc."
144.178.228.177,80000009030070695af5c817,1,45803015,9,0070695af5c817,ciscoSystems
136.144.30.66,f5717f001c73d683a300,6,83004521,1970372352,No Mac indication (0x03),
143.177.238.0,502660000000010030000128,5,50162581,1344692224,not_set,
137.174.145.69,0000197f000010e87804e001,3,71747894,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
134.122.62.202,80001f8880b51d550dae60f06100000000,22,1101625,8072,No Mac indication (0x03),net-snmp
144.178.122.142,80000009030020cfae9f4680,16,35804370,9,0020cfae9f4680,ciscoSystems
144.178.228.89,8000000903007079b3469439,3,33094089,9,007079b3469439,ciscoSystems
141.136.126.1,8000000903006c2056618a00,22,4271423,9,006c2056618a00,ciscoSystems
141.255.178.76,80000009030010e376a29e00,5,7534974,9,0010e376a29e00,ciscoSystems
144.178.108.170,80000009030070df2f03155b,7,47930496,9,0070df2f03155b,ciscoSystems
144.178.248.148,800000090300b4de31a9996b,5,953176,9,00b4de31a9996b,ciscoSystems
131.228.196.81,8000000903009c3818d19c80,4,20799409,9,009c3818d19c80,ciscoSystems
144.178.227.222,800000090300ac4a564f3f81,4,4382165,9,00ac4a564f3f81,ciscoSystems
139.28.200.78,800000090300649ef3d79980,14,516747,9,00649ef3d79980,ciscoSystems
144.178.233.235,80000009030000f82ce17a90,38,1993187,9,0000f82ce17a90,ciscoSystems
134.19.179.137,80000a4c030c599c5c6200,1,149959002,2636,0c599c5c6200,"Juniper Networks, Inc."
131.174.245.1,80000009030058569f5ddd80,8,30253036,9,0058569f5ddd80,ciscoSystems
144.178.228.247,8000000903003890a5041a4f,2,14839211,9,003890a5041a4f,ciscoSystems
144.178.250.47,80000009030000a38e87aebb,2,47540038,9,0000a38e87aebb,ciscoSystems
144.178.110.46,8000000903006cab05326f5f,5,2106341,9,006cab05326f5f,ciscoSystems
144.178.217.126,80001cc7031449bc1d3b88,0,0,7367,1449bc1d3b88,DrayTek Corporation
143.177.152.1,502660000000010030000041,6,49558985,1344692224,not_set,
141.101.131.65,f5717f001c7390c09700,8,191563570,1970372352,No Mac indication (0x03),
144.178.229.142,8000000903007079b39628e7,2,5871917,9,007079b39628e7,ciscoSystems
143.179.118.1,502660000000010030000138,3,50506444,1344692224,not_set,
144.178.233.255,800000090300502fa8922b1d,3,49615802,9,00502fa8922b1d,ciscoSystems
137.174.152.122,0000197f0000147bacad66bf,7,70709606,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.239.28,800000090300ac4a564f3f81,4,4382197,9,00ac4a564f3f81,ciscoSystems
144.178.230.198,80001f8880ba2dcc1e7aeb1866,3,28660621,8072,No Mac indication (0x03),net-snmp
137.174.173.29,0000197f0000e48184a42734,3,64401230,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
143.179.138.1,502660000000010030000041,6,49559001,1344692224,not_set,
137.174.144.131,0000197f0000e44164943c0f,4,66947485,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
136.144.183.64,80001f8880089c7c407eda545a00000000,28,42534311,8072,No Mac indication (0x03),net-snmp
144.178.205.223,80001f8880b66b4e56dae55464,7,42373356,8072,No Mac indication (0x03),net-snmp
144.178.235.118,800000090300bc26c7dfa973,3,965541,9,00bc26c7dfa973,ciscoSystems
144.178.233.224,8000000903006cb2aed1fa35,2,886839,9,006cb2aed1fa35,ciscoSystems
141.224.228.24,80001f8880163b49524c6cd56600000000,53,20028,8072,No Mac indication (0x03),net-snmp
139.28.202.249,8000000903004c776df63f80,58,450462,9,004c776df63f80,ciscoSystems
144.178.109.94,800000090300c828e5cb3101,17,1238290,9,00c828e5cb3101,ciscoSystems
137.174.144.49,0000197f0000e4416494300f,3,71740779,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.238.134,8000000903006cb2aed1f1b1,4,38549745,9,006cb2aed1f1b1,ciscoSystems
