IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
213.34.51.129,800000090300e05fb94751f9,18,4902634,9.0,00e05fb94751f9,ciscoSystems
217.21.206.135,8000000903000024c3deee03,1,3602069,9.0,000024c3deee03,ciscoSystems
212.178.94.81,800000090300084fa94dbb00,19,8704085,9.0,00084fa94dbb00,ciscoSystems
213.34.178.225,800000090300889caddacc00,8,22293565,9.0,00889caddacc00,ciscoSystems
213.124.132.197,800000090300802dbfb57d80,20,7243219,9.0,00802dbfb57d80,ciscoSystems
213.34.152.85,8000000903005ca62dfef080,14,22255136,9.0,005ca62dfef080,ciscoSystems
217.104.117.199,8000124c057429af65231533,176,3778693,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
217.122.220.1,8000000903006c410e8fd000,15,30699989,9.0,006c410e8fd000,ciscoSystems
212.57.61.131,800000090300b0faebc2b284,17,36671969,9.0,00b0faebc2b284,ciscoSystems
217.105.167.71,8000124c05707781900bb333,51,1992939,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
213.39.9.136,800000090300a4004e16d400,4,28244011,9.0,00a4004e16d400,ciscoSystems
213.208.243.97,800000090300ecf40c634e08,2,15226690,9.0,00ecf40c634e08,ciscoSystems
212.127.218.1,80000009030028526129c800,5,22746619,9.0,0028526129c800,ciscoSystems
213.136.14.140,80000009030000230486edc0,5,424427568,9.0,0000230486edc0,ciscoSystems
217.105.80.56,8000124c05889ffad2744c33,45,1598391,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
212.204.143.0,800000090300002790ff8000,11,30181668,9.0,00002790ff8000,ciscoSystems
212.178.159.119,800000090300683b78a74980,9,25918217,9.0,00683b78a74980,ciscoSystems
213.34.57.177,800000090300e05fb94751f9,18,4902635,9.0,00e05fb94751f9,ciscoSystems
217.119.132.70,f5717f444ca8a621c700,40,1428377,1970372420.0,No Mac indication (0x03),
212.61.41.184,800000090300508789c36200,15,26852805,9.0,00508789c36200,ciscoSystems
217.105.28.21,80001f888099d73e5290a5b76000000000,57,25661371,8072.0,No Mac indication (0x03),net-snmp
213.152.186.161,80000a4c030c599c5c6200,1,149932460,2636.0,0c599c5c6200,"Juniper Networks, Inc."
212.61.132.159,800000090300508789c36200,15,26852806,9.0,00508789c36200,ciscoSystems
213.34.167.80,8000000903003c510ef27280,21,60928671,9.0,003c510ef27280,ciscoSystems
213.171.158.99,800000090300eeab292542,0,0,9.0,00eeab292542,ciscoSystems
217.105.28.67,80001f888099d73e5290a5b76000000000,57,25661371,8072.0,No Mac indication (0x03),net-snmp
212.178.213.19,800000090300e05fb910a334,9,16215596,9.0,00e05fb910a334,ciscoSystems
212.123.244.154,800000090300a0b439507000,39,49328305,9.0,00a0b439507000,ciscoSystems
213.208.238.103,800000090300ecf40c583708,4,30472874,9.0,00ecf40c583708,ciscoSystems
213.34.166.201,8000000903007cad4f853400,10,79588495,9.0,007cad4f853400,ciscoSystems
213.34.77.151,800000090300683b78259300,27,78427387,9.0,00683b78259300,ciscoSystems
217.62.39.83,8000124c05bc85562265ba33,277,3041525,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
213.34.189.161,8000000903006c310e9e7480,25,36703223,9.0,006c310e9e7480,ciscoSystems
217.21.201.209,800000090300001319012481,7,12862970,9.0,00001319012481,ciscoSystems
217.123.81.181,80000b2f05d0b2c4271df133,1,4243828,2863.0,No Mac indication (0x03),Thomson Inc.
213.34.149.23,800000090300683b7833df00,12,63520125,9.0,00683b7833df00,ciscoSystems
213.34.141.220,8000000903005c3192fb4d00,6,2157582,9.0,005c3192fb4d00,ciscoSystems
213.184.99.36,80001f888073f03253d56e1e4d,11,1846632,8072.0,No Mac indication (0x03),net-snmp
213.34.186.169,800000090300a47806eae380,6,8116140,9.0,00a47806eae380,ciscoSystems
212.178.87.25,8000000903003c510ef27700,37,19568386,9.0,003c510ef27700,ciscoSystems
213.184.105.121,800030440446475433304535363138303532393133,1728905678,19942848,12356.0,No Mac indication (0x03),"Fortinet, Inc."
217.121.153.240,8000124c051c3e843f17e133,180,296053,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
217.22.19.234,80001f8880e78d7b32fe56076800000000,1,3536748,8072.0,No Mac indication (0x03),net-snmp
212.61.94.197,800000090300689e0b2f4900,11,58320464,9.0,00689e0b2f4900,ciscoSystems
217.100.140.18,80001f8880017e8c1ac76e1e4d,8,4129770,8072.0,No Mac indication (0x03),net-snmp
213.174.152.190,800000090300a38e9d5070,0,0,9.0,00a38e9d5070,ciscoSystems
217.62.194.255,800000090300f8b7e2057400,20,28799291,9.0,00f8b7e2057400,ciscoSystems
212.222.227.225,800000090300bc8d1f421080,2,33689962,9.0,00bc8d1f421080,ciscoSystems
212.78.217.49,8000000903003891b7b6e280,22,18736442,9.0,003891b7b6e280,ciscoSystems
213.126.77.218,8000304404464754363046544b3232303947463242,1738250674,10597436,12356.0,No Mac indication (0x03),"Fortinet, Inc."
213.34.155.137,80000009030044ae257de300,32,9060817,9.0,0044ae257de300,ciscoSystems
213.34.140.245,800033870370fc8c544460,0,0,13191.0,70fc8c544460,OneAccess
217.102.134.208,8000124c0570188beb349133,52,2570852,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
217.111.189.49,800000090300ecf40c36ec4c,2,15347917,9.0,00ecf40c36ec4c,ciscoSystems
217.170.11.204,80001f888089e26041972fec6600000000,16,15587087,8072.0,No Mac indication (0x03),net-snmp
213.208.247.131,0000000903000023abb35722,9,56830779,9.0,not_set,ciscoSystems
213.125.141.185,800033870370fc8c66dcb0,0,0,13191.0,70fc8c66dcb0,OneAccess
212.178.141.55,8000000903005cb12e925080,6,1726390,9.0,005cb12e925080,ciscoSystems
212.120.80.53,80000b2f0558238cc4f88433,1,3417258,2863.0,No Mac indication (0x03),Thomson Inc.
216.172.64.25,000000090300cced4dbbb7d0,3,7051887,9.0,not_set,ciscoSystems
212.123.251.65,80000009030040017a4b15f0,13,25892026,9.0,0040017a4b15f0,ciscoSystems
213.34.131.1,8000000903006c13d5e34880,32,65611909,9.0,006c13d5e34880,ciscoSystems
213.34.112.146,80000b2f05802994f380d933,1,810803,2863.0,No Mac indication (0x03),Thomson Inc.
217.104.102.224,8000124c0570778160539133,71,1597580,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
212.78.187.201,8000000903000cd5d337e880,15,5558093,9.0,000cd5d337e880,ciscoSystems
213.206.222.67,800000090300c46413701c16,2,1619610,9.0,00c46413701c16,ciscoSystems
213.34.133.41,80000009030074ad98c82400,39,31073140,9.0,0074ad98c82400,ciscoSystems
212.78.214.163,80001f8880e2e6a47b1f00000000000000,1,4040685,8072.0,No Mac indication (0x03),net-snmp
213.34.60.249,80000009030070ca9b8f6780,19,193416288,9.0,0070ca9b8f6780,ciscoSystems
213.246.197.105,800063a203d07e28ad670e,62,58372143,25506.0,d07e28ad670e,H3C
213.34.148.137,80000009030034b883767600,32,16304791,9.0,0034b883767600,ciscoSystems
213.34.93.161,8000000903005c64f1af3400,4,15719145,9.0,005c64f1af3400,ciscoSystems
212.204.135.23,8000124c057077818fe26433,126,2106188,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
212.178.74.17,800000090300e462c4791a80,49,21590182,9.0,00e462c4791a80,ciscoSystems
213.124.67.50,80000a4c0100000000,1,186688865,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
213.34.152.65,8000000903009077eee55300,12,65268042,9.0,009077eee55300,ciscoSystems
212.204.158.0,800000090300002790ff8000,11,30181670,9.0,00002790ff8000,ciscoSystems
213.73.167.1,80000009030028526129ac00,17,31391258,9.0,0028526129ac00,ciscoSystems
212.78.173.175,8000000903006cab058eaa80,15,2066705,9.0,006cab058eaa80,ciscoSystems
212.123.217.112,8000000903003c510e41e680,9,22196387,9.0,003c510e41e680,ciscoSystems
217.105.39.19,80001f88809f282d30f908ce5a00000000,84,33094690,8072.0,No Mac indication (0x03),net-snmp
212.178.123.145,800033870370fc8c161bfa,0,0,13191.0,70fc8c161bfa,OneAccess
213.52.187.78,80003a8c04,0,0,,invalid,
212.78.166.2,80000009030020cfae617280,7,36252749,9.0,0020cfae617280,ciscoSystems
213.187.139.96,800000090300c84c75340100,12,235864360,9.0,00c84c75340100,ciscoSystems
212.123.251.134,80003a8c04,0,0,,invalid,
213.156.5.83,800007db03481258b43000,4,14824294,2011.0,481258b43000,"HUAWEI Technology Co.,Ltd"
213.34.167.65,8000000903007cad4f9b8c00,10,79682103,9.0,007cad4f9b8c00,ciscoSystems
213.93.234.0,80000009030000a289271400,8,29573911,9.0,0000a289271400,ciscoSystems
213.208.230.17,80000009030024813bbfef90,5,36422405,9.0,0024813bbfef90,ciscoSystems
212.121.126.162,800000090300500f804fef2c,3,16044820,9.0,00500f804fef2c,ciscoSystems
213.34.59.121,80000009030070ca9b8f6780,19,193416289,9.0,0070ca9b8f6780,ciscoSystems
212.115.137.129,800000090300b8114b46da88,1,114873374,9.0,00b8114b46da88,ciscoSystems
212.61.168.111,80000009030064f69d0c6390,2,3870836,9.0,0064f69d0c6390,ciscoSystems
212.123.214.207,8000000903004c776d872dc0,22,42927598,9.0,004c776d872dc0,ciscoSystems
217.102.197.152,80000b2f0508952a8251bb33,1,3755909,2863.0,No Mac indication (0x03),Thomson Inc.
213.39.100.199,800000090300ecf40c8dc8d4,1,4995797,9.0,00ecf40c8dc8d4,ciscoSystems
