IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
145.102.240.209,8000000903005006ab638100,33,1834063,9,005006ab638100,ciscoSystems
145.102.241.75,80001f88806aa50679797fb865,1,42284533,8072,No Mac indication (0x03),net-snmp
145.102.242.67,8000000903005006ab638100,33,1834065,9,005006ab638100,ciscoSystems
145.94.59.255,80000009030084ebef580380,17,37461249,9,0084ebef580380,ciscoSystems
145.94.54.0,80000009030020cfae843700,23,32126832,9,0020cfae843700,ciscoSystems
145.102.240.59,8000000903005006ab638100,33,1834070,9,005006ab638100,ciscoSystems
145.102.246.128,8000000903005006ab638100,33,1834071,9,005006ab638100,ciscoSystems
145.102.240.93,8000000903005006ab638100,33,1834076,9,005006ab638100,ciscoSystems
145.102.244.112,8000000903005006ab639200,31,25172518,9,005006ab639200,ciscoSystems
145.94.36.13,80001f880438303030316339303033303030344135373534373838,186,28680,8072,No Mac indication (0x03),net-snmp
145.102.32.129,80000a4c01916621fa,9,146635244,2636,No Mac indication (0x03),"Juniper Networks, Inc."
145.102.240.128,8000000903005006ab638100,33,1834080,9,005006ab638100,ciscoSystems
145.102.245.108,8000000903005006ab638100,33,1834082,9,005006ab638100,ciscoSystems
145.94.58.0,80000009030020cfae58dce0,16,554399,9,0020cfae58dce0,ciscoSystems
145.102.33.161,80000a4c01916621fa,9,146635248,2636,No Mac indication (0x03),"Juniper Networks, Inc."
145.102.240.95,8000000903005006ab638100,33,1834083,9,005006ab638100,ciscoSystems
145.102.245.65,8000000903005006ab639200,31,25172525,9,005006ab639200,ciscoSystems
145.102.241.99,8000000903005006ab639200,31,25172531,9,005006ab639200,ciscoSystems
145.102.240.205,8000000903005006ab638100,33,1834093,9,005006ab638100,ciscoSystems
145.102.241.73,80001f88806aa50679797fb865,1,42284562,8072,No Mac indication (0x03),net-snmp
145.120.72.110,0000000b0000ec02739c6500,18,1550912,11,not_set,Hewlett-Packard
145.87.246.1,00000009030010b3d6dc3c70,12,92333591,9,not_set,ciscoSystems
145.102.244.97,8000000903005006ab639200,31,25172544,9,005006ab639200,ciscoSystems
145.102.245.120,8000000903005006ab638100,33,1834104,9,005006ab638100,ciscoSystems
145.94.100.255,80000009030020cfae83ccc0,18,37462490,9,0020cfae83ccc0,ciscoSystems
145.102.243.185,8000000903005006ab638100,33,1834105,9,005006ab638100,ciscoSystems
145.102.241.103,8000000903005006ab638100,33,1834107,9,005006ab638100,ciscoSystems
145.120.2.1,800063a280d89403e2a07b00000094,1,255222106,25506,No Mac indication (0x03),H3C
145.94.33.1,80000009030020cfae843700,23,32126882,9,0020cfae843700,ciscoSystems
145.102.245.124,8000000903005006ab638100,33,1834117,9,005006ab638100,ciscoSystems
145.100.79.13,8000000903004ce1756bc260,20,33775545,9,004ce1756bc260,ciscoSystems
145.103.253.182,0000197f000060c9aaa88125,1,39131113,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
145.102.42.1,80000a4c01916621fa,9,146635292,2636,No Mac indication (0x03),"Juniper Networks, Inc."
145.102.242.64,8000000903005006ab638100,33,1834127,9,005006ab638100,ciscoSystems
145.94.58.249,80001f888031942f428b5c8664,23,15640210,8072,No Mac indication (0x03),net-snmp
145.102.240.85,8000000903005006ab638100,33,1834128,9,005006ab638100,ciscoSystems
145.102.242.89,8000000903005006ab638100,33,1834130,9,005006ab638100,ciscoSystems
145.102.241.0,8000000903005006ab638100,33,1834131,9,005006ab638100,ciscoSystems
145.102.33.57,80000a4c01916621fa,9,146635486,2636,No Mac indication (0x03),"Juniper Networks, Inc."
145.87.240.1,000000090300cc90708cc114,8,3467542,9,not_set,ciscoSystems
145.89.183.162,800000090300000b46651d60,4,8286066,9,00000b46651d60,ciscoSystems
145.89.194.14,80000009030000235d75a281,4,8285989,9,0000235d75a281,ciscoSystems
145.102.247.1,8000000903005006ab638100,33,1834417,9,005006ab638100,ciscoSystems
145.87.237.26,80001f8880efcaff6372000000,1,17595555,8072,No Mac indication (0x03),net-snmp
145.103.246.142,0000197f000060c9aa86ad61,1,39151982,6527,not_set,Nokia (formerly 'Alcatel-Lucent')
145.102.240.233,8000000903005006ab638100,33,1834429,9,005006ab638100,ciscoSystems
145.102.242.39,8000000903005006ab638100,33,1834435,9,005006ab638100,ciscoSystems
145.94.44.1,80000009030020cfae843840,14,37464452,9,0020cfae843840,ciscoSystems
145.102.33.73,80000a4c01916621fa,9,146635610,2636,No Mac indication (0x03),"Juniper Networks, Inc."
145.87.255.255,00000009030010b3d6dc3c70,12,92333937,9,not_set,ciscoSystems
145.87.251.255,00000009030010b3d6dc3c70,12,92333937,9,not_set,ciscoSystems
145.102.242.233,8000000903005006ab638100,33,1834450,9,005006ab638100,ciscoSystems
145.102.246.200,8000000903005006ab638100,33,1834453,9,005006ab638100,ciscoSystems
145.102.240.247,8000000903005006ab638100,33,1834480,9,005006ab638100,ciscoSystems
145.94.100.0,80000009030020cfae83ccc0,18,37462869,9,0020cfae83ccc0,ciscoSystems
145.102.49.1,80000a4c01916621fa,9,146635652,2636,No Mac indication (0x03),"Juniper Networks, Inc."
145.102.241.143,8000000903005006ab639200,31,25172928,9,005006ab639200,ciscoSystems
145.74.232.63,80000009030024169db44580,4,146895095,9,0024169db44580,ciscoSystems
145.102.242.7,8000000903005006ab638100,33,1834495,9,005006ab638100,ciscoSystems
145.94.45.255,80000009030020cfae843840,14,37464509,9,0020cfae843840,ciscoSystems
145.87.234.168,80001f8880091cac507b000000,1,11751121,8072,No Mac indication (0x03),net-snmp
