IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
95.129.123.178,8000000903000023acdb2881,4,290271533,9.0,000023acdb2881,ciscoSystems
94.103.144.159,8000000903000023ebb812b0,5,124607123,9.0,000023ebb812b0,ciscoSystems
94.103.149.224,8000000903000005740fb2bc,8,192475735,9.0,000005740fb2bc,ciscoSystems
94.103.147.129,8000000903000005740fb2bc,8,192475735,9.0,000005740fb2bc,ciscoSystems
94.215.3.248,8000124c05889ffad4441033,228,687145,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
94.209.126.110,8000124c05707781d1cb6933,361,1119655,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
94.213.240.54,8000124c051c3e8437e6bd33,266,454141,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
94.209.255.192,8000124c05707781478ea833,19,1542805,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
94.142.209.151,80000009030058ac78267a80,12,69033474,9.0,0058ac78267a80,ciscoSystems
130.161.220.37,80001f88806be5392021d0bc5e00000000,41,1160977,8072.0,No Mac indication (0x03),net-snmp
95.96.227.255,800000090300f8a73af0f400,11,19137098,9.0,00f8a73af0f400,ciscoSystems
94.103.148.240,8000000903000005740fb2bc,8,192475736,9.0,000005740fb2bc,ciscoSystems
95.99.77.1,502660000000010030000002,6,49297189,1344692224.0,not_set,
94.210.18.99,8000124c052c337a6b8dd933,71,550580,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
93.184.103.179,800000090300380e4d2be980,8,32608878,9.0,00380e4d2be980,ciscoSystems
95.97.51.54,80003a8c04,0,0,,invalid,
94.210.183.67,80000b2f05b0c287e1caa433,1,855779,2863.0,No Mac indication (0x03),Thomson Inc.
94.209.239.255,8000000903006c410e153000,10,33661599,9.0,006c410e153000,ciscoSystems
109.109.119.120,80000009030028affd0e6300,11,11212287,9.0,0028affd0e6300,ciscoSystems
94.124.88.4,80001f88804eb815ba00000000566feb88,13,21430156,8072.0,No Mac indication (0x03),net-snmp
94.101.104.135,800000090300502fa8524800,4,24441442,9.0,00502fa8524800,ciscoSystems
109.237.216.169,80001f8880789c8d01a51beb5e00000000,17,19787511,8072.0,No Mac indication (0x03),net-snmp
93.191.1.89,800000090300007888be4378,3,5615102,9.0,00007888be4378,ciscoSystems
94.209.91.0,800000090300d4ad710dc800,12,27613258,9.0,00d4ad710dc800,ciscoSystems
109.109.103.23,800000090300b0c53ce4ac80,10,31256098,9.0,00b0c53ce4ac80,ciscoSystems
109.109.124.103,800000090300482e72fe6980,16,12345963,9.0,00482e72fe6980,ciscoSystems
109.109.103.199,8000000903007c210e058f00,27,24210508,9.0,007c210e058f00,ciscoSystems
109.109.98.25,000000090300cced4dd8501a,11,1697716,9.0,not_set,ciscoSystems
95.99.144.0,502660000000010030000045,6,49297751,1344692224.0,not_set,
