IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
137.174.152.53,0000197f0000e48184e99b34,7,71834490,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
134.19.178.113,80000a4c030c599c5c6200,1,149960055,2636.0,0c599c5c6200,"Juniper Networks, Inc."
144.178.249.50,80000009030040b5c12c9380,26,8911214,9.0,0040b5c12c9380,ciscoSystems
144.178.234.72,80000009030000f28bbc226d,5,12984488,9.0,0000f28bbc226d,ciscoSystems
137.174.145.77,0000197f0000e44164923c0f,6,71126708,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
139.28.202.253,8000000903003891b73fa100,15,7109346,9.0,003891b73fa100,ciscoSystems
139.28.200.128,800000090300a03d6ffe91b8,18,286551,9.0,00a03d6ffe91b8,ciscoSystems
139.28.200.103,800000090300f04a027f4d00,10,63853693,9.0,00f04a027f4d00,ciscoSystems
144.178.81.45,800000090300dc8c37d81b00,12,90568580,9.0,00dc8c37d81b00,ciscoSystems
139.28.202.64,800000090300c014fe1ce680,51,41838926,9.0,00c014fe1ce680,ciscoSystems
141.255.178.38,8000000903004800b32f8d80,5,14271293,9.0,004800b32f8d80,ciscoSystems
139.28.200.92,800000090300689e0b200880,22,18944424,9.0,00689e0b200880,ciscoSystems
144.178.71.179,80001f8880ae971c5100032066,2,35499567,8072.0,No Mac indication (0x03),net-snmp
144.178.238.134,8000000903006cb2aed1f1b1,4,38550744,9.0,006cb2aed1f1b1,ciscoSystems
144.178.231.0,800000090300d4789b8b65c5,2,20763837,9.0,00d4789b8b65c5,ciscoSystems
144.178.108.246,80000009030000fd22244595,5,13647903,9.0,0000fd22244595,ciscoSystems
143.177.151.255,502660000000010030000001,7,49386871,1344692224.0,not_set,
139.28.202.118,80000009030028affdf0cf00,10,4762139,9.0,0028affdf0cf00,ciscoSystems
144.178.227.190,8000000903007c310e92bc21,2,124260177,9.0,007c310e92bc21,ciscoSystems
134.19.188.137,80000a4c03ec3873d5382c,2,146021526,2636.0,ec3873d5382c,"Juniper Networks, Inc."
131.224.7.202,8000000903e4c7220611c3,0,0,9.0,e4c7220611c3,ciscoSystems
137.174.136.59,0000197f0000e48184edc734,5,70026516,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
136.144.214.245,80001f888003a85a018674b45c00000000,7,76427746,8072.0,No Mac indication (0x03),net-snmp
144.178.111.94,80000009030000fd22244595,5,13647907,9.0,0000fd22244595,ciscoSystems
137.174.172.106,0000197f000010e878172401,3,37885354,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
143.177.208.0,502660000000010030000003,6,49296695,1344692224.0,not_set,
144.178.248.74,8000000903002c1a0593e980,10,4187478,9.0,002c1a0593e980,ciscoSystems
134.19.178.33,80000a4c030c599c5a1400,4,150064031,2636.0,0c599c5a1400,"Juniper Networks, Inc."
137.174.164.9,0000197f000010e87807b401,7,72341424,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
144.178.224.16,8000000903002c331125c9d9,2,3463145,9.0,002c331125c9d9,ciscoSystems
139.92.250.0,800000090300000bfcdbb01b,9,19017244,9.0,00000bfcdbb01b,ciscoSystems
144.178.228.223,8000000903006cab051463a1,2,21022194,9.0,006cab051463a1,ciscoSystems
137.174.164.50,0000197f000018c300495000,2,51132955,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
145.11.48.14,8000000903005c5ac7f98500,10,79013104,9.0,005c5ac7f98500,ciscoSystems
141.98.231.8,8000000903002c86d2c3b500,16,39811797,9.0,002c86d2c3b500,ciscoSystems
141.136.126.230,80000009030024161bb0b600,35,9956954,9.0,0024161bb0b600,ciscoSystems
144.178.249.34,80000009030010a829cb0e80,58,7772418,9.0,0010a829cb0e80,ciscoSystems
144.178.249.206,80000009030000b771cd057f,2,24776986,9.0,0000b771cd057f,ciscoSystems
143.177.140.0,502660000000010030000002,6,49296652,1344692224.0,not_set,
131.211.0.50,800063a280d89403e2a07b00000087,1,214732855,25506.0,No Mac indication (0x03),H3C
143.178.192.1,502660000000031201007174,2,50598622,1344692224.0,not_set,
144.178.228.247,8000000903003890a5041a4f,2,14840282,9.0,003890a5041a4f,ciscoSystems
137.174.152.194,8000000903003c26e422ea80,14,4139548,9.0,003c26e422ea80,ciscoSystems
143.177.184.0,502660000000010030000011,9,49386236,1344692224.0,not_set,
141.98.2.35,800000090300f04a0259ac80,6,122190277,9.0,00f04a0259ac80,ciscoSystems
137.174.152.169,0000197f0000e48184ab8f34,5,73042749,6527.0,not_set,Nokia (formerly 'Alcatel-Lucent')
139.178.74.201,3fb6c557809407d35e1a6fe1d155a5a434f50886083988eb955c6bd7351356b1,18,19831420,1068942679.0,not_set,
139.28.201.23,80000009030028affdde6800,42,14856244,9.0,0028affdde6800,ciscoSystems
