saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
62.200.218.80,1356515390,172.20.10.2,34215084,47588,241,udp,1,161,55127,111,3065020103300e02024a69020205dc040100020103041e301c040c800000090300a44c1119208002010202037b85570400040004003030040c800000090300a44c111920800400a81e020237f002010002010030123010060a2b060106030f0101040041020ace,,,,,0,0,2025-06-03T15:56:46.967+0200,1748959006,967991
62.112.243.31,536047678,172.20.10.2,34215084,38426,247,udp,1,161,33589,112,3066020103300e02024a6902020800040100020103041e301c040c00000009030040ce2400a568020109020347e6ce0400040004003031040c00000009030040ce2400a5680400a81f020237f002010002010030133011060a2b060106030f01010400410300911b,,,,,0,0,2025-06-03T15:56:48.120+0200,1748959008,120947
64.26.38.120,2015763008,172.20.10.2,34215084,41854,245,udp,1,161,58651,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300d48cb5719f440201010204028ed1660400040004003030040c800000090300d48cb5719f440400a81e020237f002010002010030123010060a2b060106030f0101040041021566,,,,,0,0,2025-06-03T15:56:48.144+0200,1748959008,144968
62.200.31.127,2132789310,172.20.10.2,34215084,45836,242,udp,1,161,50869,112,3066020103300e02024a6902020800040100020103041e301c040c00000009030080a23514580002010a02031ddd0c0400040004003031040c00000009030080a2351458000400a81f020237f002010002010030133011060a2b060106030f0101040041030082f1,,,,,0,0,2025-06-03T15:56:48.412+0200,1748959008,412081
62.207.190.32,549375806,172.20.10.2,34215084,8413,245,udp,1,161,53430,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300002cc87f490002011d02040102aa190400040004003030040c800000090300002cc87f49000400a81e020237f002010002010030123010060a2b060106030f0101040041021038,,,,,0,0,2025-06-03T15:56:48.663+0200,1748959008,663090
