saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
145.128.242.222,3740434577,145.94.229.153,2581946001,20636,243,udp,1,161,47087,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009ee000008e3fffc2c0201010204025e623e0400040004003031040c80000009ee000008e3fffc2c0400a81f020237f002010002010030133011060a2b060106030f01010400410308cd59,,,,,0,0,2025-06-02T14:12:04.502+0200,1748866324,502774
91.103.23.74,1243047771,145.94.229.153,2581946001,13324,246,udp,1,161,49948,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300d4eb683da00002010b0204059c92080400040004003031040c800000090300d4eb683da0000400a81f020237f002010002010030133011060a2b060106030f010104004103009d17,,,,,0,0,2025-06-02T14:12:04.927+0200,1748866324,927954
109.109.96.205,3445648749,145.94.229.153,2581946001,41172,247,udp,1,161,55509,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030028affd10b000020110020400b1942d0400040004003031040c80000009030028affd10b0000400a81f020237f002010002010030133011060a2b060106030f010104004103031824,,,,,0,0,2025-06-02T14:12:05.119+0200,1748866325,119629
90.145.146.78,1318228314,145.94.229.153,2581946001,33092,246,udp,1,161,55752,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300bc16657e1b0002011702040706ccc90400040004003031040c800000090300bc16657e1b000400a81f020237f002010002010030133011060a2b060106030f010104004103033304,,,,,0,0,2025-06-02T14:12:05.526+0200,1748866325,526243
87.195.0.6,100713303,145.94.229.153,2581946001,14617,54,udp,1,161,53705,108,3062020103300f02024a69020300ffe3040100020103041b3019040b8000000903f4ee313f70b8020100020100040004000400302f040b8000000903f4ee313f70b80400a81e020237f002010002010030123010060a2b060106030f01010400410203bb,,,,,0,0,2025-06-02T14:12:05.573+0200,1748866325,573150
93.186.184.129,2176367197,145.94.229.153,2581946001,10429,57,udp,1,161,59303,115,3069020103300e02024a69020208000401000201030420301e040d80000634b20400001014d3d196020100020402a2cf7d0400040004003032040d80000634b20400001014d3d1960400a81f020237f002010002010030133011060a2b060106030f010104004103087a5d,,,,,0,0,2025-06-02T14:12:05.681+0200,1748866325,681561
92.68.253.187,3153937500,145.94.229.153,2581946001,63,245,udp,1,161,37894,110,3064020103300e02024a69020205dc040100020103041e301c040c8000000903000000000000000201080203098676040004000400302f040c8000000903000000000000000400a81d020237f00201000201003011300f060a2b060106030f0101040041012d,,,,,0,0,2025-06-02T14:12:05.685+0200,1748866325,685345
145.102.241.15,267478673,145.94.229.153,2581946001,4109,246,udp,1,161,57144,112,3066020103300e02024a69020205dc040100020103041e301c040c8000000903005006ab63810002012102031bdbfb0400040004003031040c8000000903005006ab6381000400a81f020237f002010002010030133011060a2b060106030f01010400410300a252,,,,,0,0,2025-06-02T14:12:05.738+0200,1748866325,738020
93.117.221.229,3856495965,145.94.229.153,2581946001,36673,243,udp,1,161,43871,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300bce712a013000201160204023b08e50400040004003030040c800000090300bce712a013000400a81e020237f002010002010030123010060a2b060106030f0101040041020a34,,,,,0,0,2025-06-02T14:12:05.834+0200,1748866325,834510
91.189.211.157,2647899483,145.94.229.153,2581946001,33531,243,udp,1,161,49276,112,3066020103300e02024a69020205dc040100020103041e301c040c800000090300500f807e370002010e020362b5840400040004003031040c800000090300500f807e37000400a81f020237f002010002010030133011060a2b060106030f010104004103008a23,,,,,0,0,2025-06-02T14:12:05.842+0200,1748866325,842798
93.117.235.129,2179691869,145.94.229.153,2581946001,10835,53,udp,1,161,41546,95,3055020103300e02024a6902022000040100020103041b3019040b800033870370fc8c5383e0020100020100040004000400302304000400a81d020237f00201000201003011300f060a2b060106030f0101040041013f,,,,,0,0,2025-06-02T14:12:05.857+0200,1748866325,857437
