saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
77.60.209.35,600915021,172.20.10.2,34215084,46869,241,udp,1,161,51642,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300c4f7d5293400020114020401cdd3860400040004003030040c800000090300c4f7d52934000400a81e020237f002010002010030123010060a2b060106030f0101040041020887,,,,,0,0,2025-06-03T15:13:36.860+0200,1748956416,860701
77.242.126.110,1853813325,172.20.10.2,34215084,24495,245,udp,1,161,48829,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300001b5484fa7a0201020204010754b40400040004003031040c800000090300001b5484fa7a0400a81f020237f002010002010030133011060a2b060106030f010104004103465db2,,,,,0,0,2025-06-03T15:13:36.936+0200,1748956416,936839
64.26.36.58,975444544,172.20.10.2,34215084,42697,246,udp,1,161,35967,113,3067020103300e02024a6902020800040100020103041f301d040c0000000903005c3e06c2ab200201030204020e3a050400040004003031040c0000000903005c3e06c2ab200400a81f020237f002010002010030133011060a2b060106030f0101040041030f8e93,,,,,0,0,2025-06-03T15:13:37.082+0200,1748956417,82420
64.26.36.161,2703497792,172.20.10.2,34215084,42953,246,udp,1,161,52622,113,3067020103300e02024a6902020800040100020103041f301d040c0000000903005c3e06c2ab200201030204020e3a060400040004003031040c0000000903005c3e06c2ab200400a81f020237f002010002010030133011060a2b060106030f0101040041030f8e94,,,,,0,0,2025-06-03T15:13:37.509+0200,1748956417,509901
