saddr,saddr_raw,daddr,daddr_raw,ipid,ttl,classification,success,sport,dport,udp_pkt_size,data,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,repeat,cooldown,timestamp_str,timestamp_ts,timestamp_us
92.65.94.148,2489205084,145.94.229.153,2581946001,27610,241,udp,1,161,35301,112,3066020103300e02024a69020205dc040100020103041f301d040c00000009020000024b7d8d6f0201050204018111c60400040004003030040c00000009020000024b7d8d6f0400a81e020237f002010002010030123010060a2b060106030f010104004102188b,,,,,0,0,2025-06-02T14:10:32.962+0200,1748866232,962437
90.145.33.185,3105984858,145.94.229.153,2581946001,31688,246,udp,1,161,42840,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300bc16657e1b0002011702040706cc6d0400040004003031040c800000090300bc16657e1b000400a81f020237f002010002010030133011060a2b060106030f010104004103033303,,,,,0,0,2025-06-02T14:10:33.170+0200,1748866233,170803
147.123.48.5,87063443,145.94.229.153,2581946001,12061,49,udp,1,161,45507,111,3065020103300e02024a6902022000040100020103041f301d040c0000197f0000e0cb196e6370020103020400f9626a040004000400302f040c0000197f0000e0cb196e63700400a81d020237f00201000201003011300f060a2b060106030f01010400410147,,,,,0,0,2025-06-02T14:10:33.272+0200,1748866233,272871
91.189.211.125,2111028571,145.94.229.153,2581946001,22248,242,udp,1,161,51324,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300500f807e2d0002010b020405f0b8b80400040004003031040c800000090300500f807e2d000400a81f020237f002010002010030133011060a2b060106030f010104004103129704,,,,,0,0,2025-06-02T14:10:33.372+0200,1748866233,372886
87.236.0.156,2617306199,145.94.229.153,2581946001,46359,246,udp,1,161,35172,114,3068020103300e02024a69020205dc040100020103041f301d040c8000000903005c710d07d38002010d020401d16b7d0400040004003032040c8000000903005c710d07d3800400a820020237f002010002010030143012060a2b060106030f010104004104009b4c7d,,,,,0,0,2025-06-02T14:10:33.552+0200,1748866233,552172
87.210.142.0,9359959,145.94.229.153,2581946001,45534,245,udp,1,161,51439,113,3067020103300e02024a6902020800040100020103041f301d040c502660000000010030000036020108020402f01a130400040004003031040c5026600000000100300000360400a81f020237f002010002010030133011060a2b060106030f01010400410300cb81,,,,,0,0,2025-06-02T14:10:33.600+0200,1748866233,600272
145.131.230.248,4175856529,145.94.229.153,2581946001,60393,244,udp,1,161,44690,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300ecbd1d602dda02010d020400c065100400040004003030040c800000090300ecbd1d602dda0400a81e020237f002010002010030123010060a2b060106030f01010400410203cc,,,,,0,0,2025-06-02T14:10:33.607+0200,1748866233,607380
88.208.37.190,3190149208,145.94.229.153,2581946001,45191,50,udp,1,161,60473,109,3063020103300f02024a69020300ffe3040100020103041b3019040b80000009032c4f52fc16bc0201000201000400040004003030040b80000009032c4f52fc16bc0400a81f020237f002010002010030133011060a2b060106030f01010400410304d9e2,,,,,0,0,2025-06-02T14:10:33.764+0200,1748866233,764504
89.99.45.1,19751769,145.94.229.153,2581946001,35159,244,udp,1,161,38337,113,3067020103300e02024a69020205dc040100020103041f301d040c80000009030094d469541400020109020401ae7cd60400040004003031040c80000009030094d4695414000400a81f020237f002010002010030133011060a2b060106030f010104004103060da2,,,,,0,0,2025-06-02T14:10:34.018+0200,1748866234,18595
151.248.51.209,3509844119,145.94.229.153,2581946001,42002,245,udp,1,161,52418,112,3066020103300e02024a69020205dc040100020103041f301d040c80000009030000778df5c701020108020401d4dce10400040004003030040c80000009030000778df5c7010400a81e020237f002010002010030123010060a2b060106030f0101040041026980,,,,,0,0,2025-06-02T14:10:34.060+0200,1748866234,60779
91.105.216.252,4242041179,145.94.229.153,2581946001,872,242,udp,1,161,44177,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300648f3e33a30002010c020400ab6e580400040004003030040c800000090300648f3e33a3000400a81e020237f002010002010030123010060a2b060106030f01010400410233a4,,,,,0,0,2025-06-02T14:10:34.063+0200,1748866234,63514
151.248.50.72,1211299991,145.94.229.153,2581946001,51882,243,udp,1,161,58124,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300bc26c7dffa3b0201030204008aa6cd0400040004003030040c800000090300bc26c7dffa3b0400a81e020237f002010002010030123010060a2b060106030f01010400410214f0,,,,,0,0,2025-06-02T14:10:34.586+0200,1748866234,586756
91.106.228.0,14969435,145.94.229.153,2581946001,31620,246,udp,1,161,36807,113,3067020103300e02024a6902020800040100020103041f301d040c00000009030010b3d6dc3c7002010c02040580c5420400040004003031040c00000009030010b3d6dc3c700400a81f020237f002010002010030133011060a2b060106030f0101040041030202e4,,,,,0,0,2025-06-02T14:10:34.805+0200,1748866234,805518
137.174.153.90,1520021129,145.94.229.153,2581946001,56359,53,udp,1,161,57812,112,3066020103300e02024a6902022000040100020103041f301d040c0000197f0000147bacad66bf02010702040436cff70400040004003030040c0000197f0000147bacad66bf0400a81e020237f002010002010030123010060a2b060106030f0101040041020503,,,,,0,0,2025-06-02T14:10:35.254+0200,1748866235,254235
