IP,Enterprise Code,MAC,Vendor
82.75.201.80,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.171.32.10,1970372392.0,No Mac indication (0x03),
82.75.142.125,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.101.229.163,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.112.86.50,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
82.174.187.255,1344692224.0,not_set,
80.112.247.81,13191.0,70fc8c1604f8,OneAccess
78.152.32.101,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
81.171.60.252,1970372392.0,No Mac indication (0x03),
80.113.211.172,nan,invalid,
81.175.70.29,8072.0,No Mac indication (0x03),net-snmp
77.251.43.198,8072.0,No Mac indication (0x03),net-snmp
81.175.70.118,8072.0,No Mac indication (0x03),net-snmp
82.75.147.96,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.249.209.221,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
81.28.84.229,2021.0,No Mac indication (0x03),"U.C. Davis, ECE Dept. Tom"
80.60.232.158,8072.0,No Mac indication (0x03),net-snmp
80.112.247.5,2011.0,a0a33b3d933f,"HUAWEI Technology Co.,Ltd"
82.74.67.200,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.231.152.192,942682160.0,not_set,
81.173.125.15,2011.0,40eeddb2fbf7,"HUAWEI Technology Co.,Ltd"
81.171.63.252,1970372392.0,No Mac indication (0x03),
77.251.75.227,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.249.210.28,nan,invalid,
80.113.232.23,8072.0,No Mac indication (0x03),net-snmp
82.75.203.99,2863.0,No Mac indication (0x03),Thomson Inc.
81.173.124.213,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
82.174.104.1,1344692224.0,not_set,
80.67.33.177,4413.0,No Mac indication (0x03),Broadcom Limited
82.75.60.163,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.208.243,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
80.114.207.37,4684.0,No Mac indication (0x03),Ambit Microsystems Corporation
81.171.92.251,1991.0,748ef8ccb1c0,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
81.173.125.151,2011.0,a4c64f3b995b,"HUAWEI Technology Co.,Ltd"
80.115.150.77,2863.0,No Mac indication (0x03),Thomson Inc.
