IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
89.20.89.149,800000090300d8b19016fa7e,10,22324223,9.0,00d8b19016fa7e,ciscoSystems
90.145.222.167,800000090300ccef48f54b00,6,80674276,9.0,00ccef48f54b00,ciscoSystems
87.195.108.61,800000090300001d45de2aa0,13,142520705,9.0,00001d45de2aa0,ciscoSystems
92.109.213.1,80000009030000ebd5ed3c00,8,28827997,9.0,0000ebd5ed3c00,ciscoSystems
89.207.25.17,800000090300881dfcd32400,4,174506394,9.0,00881dfcd32400,ciscoSystems
92.70.77.9,80000009030000fec88b8b1e,2,3899754,9.0,0000fec88b8b1e,ciscoSystems
92.65.230.57,80000009030084b802396860,5,56936000,9.0,0084b802396860,ciscoSystems
93.117.198.201,8000000903007411b2a99a00,68,11158349,9.0,007411b2a99a00,ciscoSystems
92.67.200.129,80001f88031056ca6b1210,1,496878,8072.0,1056ca6b1210,net-snmp
87.237.28.40,800000090300005d734627b6,3,43454614,9.0,00005d734627b6,ciscoSystems
90.145.29.30,800000090300bc16657e0400,195,117299957,9.0,00bc16657e0400,ciscoSystems
93.92.31.159,80000009030030f70d994500,3,11748909,9.0,0030f70d994500,ciscoSystems
92.66.205.151,8000000903002c3311d1ccc0,64,76628474,9.0,002c3311d1ccc0,ciscoSystems
92.64.8.196,800000090300a0e0afbaab56,8,17821184,9.0,00a0e0afbaab56,ciscoSystems
93.117.228.153,800000090300889cadf5b300,10,2169420,9.0,00889cadf5b300,ciscoSystems
92.64.125.96,80000009030000eabd1e6494,2,102837631,9.0,0000eabd1e6494,ciscoSystems
91.189.210.81,800000090300500f807e2d00,11,99672747,9.0,00500f807e2d00,ciscoSystems
92.68.91.93,800000090300549fc68c6a80,15,10891397,9.0,00549fc68c6a80,ciscoSystems
88.208.37.190,80000009032c4f52fc16bc,0,0,9.0,2c4f52fc16bc,ciscoSystems
87.236.0.160,80000009030040b5c104de80,52,12959761,9.0,0040b5c104de80,ciscoSystems
89.20.82.4,80001f8880d5af8e2d0f751e66,13,8188035,8072.0,No Mac indication (0x03),net-snmp
93.117.209.25,800000090300e069baba5100,30,216606,9.0,00e069baba5100,ciscoSystems
92.70.5.89,800000090300802dbf7bac80,8,19070883,9.0,00802dbf7bac80,ciscoSystems
93.92.29.46,800000090300588b1c9aea00,10,10216219,9.0,00588b1c9aea00,ciscoSystems
93.117.195.89,80000009030024d79c3c0200,42,635234,9.0,0024d79c3c0200,ciscoSystems
87.208.64.0,502660000000010030000055,7,49300766,1344692224.0,not_set,
93.117.223.157,800000090300889cadfbb400,14,13588509,9.0,00889cadfbb400,ciscoSystems
89.20.65.31,800000090300fc5b39d2c9ec,10,27556500,9.0,00fc5b39d2c9ec,ciscoSystems
93.92.26.135,0000000903005c3e06c2ab20,3,34407348,9.0,not_set,ciscoSystems
89.20.92.16,800000090300d4c93cc488c2,2,64057749,9.0,00d4c93cc488c2,ciscoSystems
92.66.120.13,8000000903007081054cfd02,2,5128127,9.0,007081054cfd02,ciscoSystems
93.117.216.215,8000000903005c3e06a48b00,12,6960711,9.0,005c3e06a48b00,ciscoSystems
