IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
193.203.51.1,8000000903003a9c178e40,0,0,9,003a9c178e40,ciscoSystems
193.56.239.141,80003a8c04,0,0,,invalid,
194.196.78.77,800000090300bc16659e1c00,2,6382941,9,00bc16659e1c00,ciscoSystems
195.169.90.59,800063a2805c8a384d39b200000001,4,107458410,25506,No Mac indication (0x03),H3C
208.88.129.96,800000090300f4cfe2b80b80,6,38942103,9,00f4cfe2b80b80,ciscoSystems
193.254.214.177,800000090300001e7a585da8,16,16342211,9,00001e7a585da8,ciscoSystems
195.35.194.64,8000000903007cad4f2a9980,39,17800504,9,007cad4f2a9980,ciscoSystems
194.196.190.176,00000009030080a235135800,8,2102810,9,not_set,ciscoSystems
193.110.235.95,000000090300009e1e5d870e,1,155090824,9,not_set,ciscoSystems
208.88.129.155,800000090300f86bd9363400,42,17448230,9,00f86bd9363400,ciscoSystems
195.35.242.168,8000000903004ce175f44f00,25,1723840,9,004ce175f44f00,ciscoSystems
195.35.243.49,800000090300b0c53c295080,12,80292879,9,00b0c53c295080,ciscoSystems
193.187.189.194,80000634b20400001014ddd196,2,122953893,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
209.198.141.89,80001cc7031449bc29f3b0,0,0,7367,1449bc29f3b0,DrayTek Corporation
195.35.225.57,8000000903005ca62dd53080,10,20274841,9,005ca62dd53080,ciscoSystems
194.69.16.117,8000000903006c20563c7d01,4,332420038,9,006c20563c7d01,ciscoSystems
193.67.144.17,8000000903a0935103551c,0,0,9,a0935103551c,ciscoSystems
195.191.1.3,800000090300008e73df0e00,12,48497879,9,00008e73df0e00,ciscoSystems
194.196.34.217,00000009030080a2355ca800,9,2108567,9,not_set,ciscoSystems
195.75.31.239,800000090300cc46d6c86d00,3,87935554,9,00cc46d6c86d00,ciscoSystems
194.102.239.16,8000000903005488de488a80,17,3078104,9,005488de488a80,ciscoSystems
193.37.204.129,80000634b20400001014d3d196,0,44214210,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
195.35.231.81,800033870370fc8c546d50,0,0,13191,70fc8c546d50,OneAccess
