IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
185.34.171.89,800000090300482e72fe6980,16,12333127,9.0,00482e72fe6980,ciscoSystems
185.89.154.104,80000009030058ac78269080,11,99666217,9.0,0058ac78269080,ciscoSystems
159.100.118.153,80000009030034b88376de80,8,43274689,9.0,0034b88376de80,ciscoSystems
159.100.112.209,800000090300889caddab780,20,418906,9.0,00889caddab780,ciscoSystems
159.100.94.69,80000009030074ad98c7b780,28,1126979,9.0,0074ad98c7b780,ciscoSystems
185.254.42.118,800000090300641225ed170e,2,1733651,9.0,00641225ed170e,ciscoSystems
185.9.255.1,8000000903000021d8bde810,8,161925362,9.0,000021d8bde810,ciscoSystems
185.34.157.112,800000090300b0c53ce4ac80,10,31243262,9.0,00b0c53ce4ac80,ciscoSystems
185.241.213.220,80001f888084314f42dcdb836600000000,253,2973611,8072.0,No Mac indication (0x03),net-snmp
188.92.59.93,8000000903007079b342c080,27,88733507,9.0,007079b342c080,ciscoSystems
176.74.254.128,800000090300ec30919e3703,5,86364589,9.0,00ec30919e3703,ciscoSystems
185.92.71.25,800000090300a8b456bd3180,8,202862225,9.0,00a8b456bd3180,ciscoSystems
188.200.159.111,80000009030080e01d8e785c,2,74628703,9.0,0080e01d8e785c,ciscoSystems
185.227.81.92,80001f888097cf042d07eae65c00000000,23,37207724,8072.0,No Mac indication (0x03),net-snmp
159.100.77.87,800000090300000000000000,2,22358441,9.0,00000000000000,ciscoSystems
185.241.190.25,8000000903c067af2f4a60,0,0,9.0,c067af2f4a60,ciscoSystems
188.92.58.15,80000009030070ca9b1accb0,20,77013398,9.0,0070ca9b1accb0,ciscoSystems
185.117.90.243,80001f8880fed23344af2a296700000000,10,4503295,8072.0,No Mac indication (0x03),net-snmp
188.92.63.244,8000222503c0eae490cd64,10,1697662,8741.0,c0eae490cd64,"SonicWALL, Inc."
185.199.188.105,8000000903002cd02d2671c2,2,12080130,9.0,002cd02d2671c2,ciscoSystems
185.228.80.1,f5717f444ca8c41efb00,4,21002150,1970372420.0,No Mac indication (0x03),
185.62.119.235,000000090300cced4dbbf610,3,7066733,9.0,not_set,ciscoSystems
185.62.118.49,000000090300cced4dbbb7d0,3,7067200,9.0,not_set,ciscoSystems
185.138.59.4,80000a4c01b98a3b04,5,36815826,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
185.90.199.101,f5717f444ca88d95d300,23,81493897,1970372420.0,No Mac indication (0x03),
185.121.111.12,80003a8c04,0,0,,invalid,
185.187.12.10,80000a4c01b9bb0c0a,27,30176964,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
188.209.49.26,80001f88800cffe17c9241076500000000,647,2206,8072.0,No Mac indication (0x03),net-snmp
159.100.76.145,8000000903007411b2a75c00,14,60682833,9.0,007411b2a75c00,ciscoSystems
185.133.36.114,80001f8880aeac85717c70945d00000000,299,1467778,8072.0,No Mac indication (0x03),net-snmp
185.226.110.117,8000000903002c73a01a5781,2,137802084,9.0,002c73a01a5781,ciscoSystems
157.97.113.18,8000000903007cad745d497f,2,6823001,9.0,007cad745d497f,ciscoSystems
185.9.254.193,800000090300b8621f761400,1,86137262,9.0,00b8621f761400,ciscoSystems
188.207.44.21,80001f88807b833634b4083b68,1,164261,8072.0,No Mac indication (0x03),net-snmp
188.207.35.242,80001f88802d8b4e20ec932d68,1,1046159,8072.0,No Mac indication (0x03),net-snmp
185.209.150.231,800000090300d0d0fdf73180,5,41186097,9.0,00d0d0fdf73180,ciscoSystems
159.100.100.101,800000090300ecce138b4300,26,20304522,9.0,00ecce138b4300,ciscoSystems
188.207.213.25,800000090300e4387ed8aa00,8,6470690,9.0,00e4387ed8aa00,ciscoSystems
185.12.120.126,8000000903006c29d20ffd80,6,16426661,9.0,006c29d20ffd80,ciscoSystems
185.197.191.225,800000090300d4e8807deb80,14,19884599,9.0,00d4e8807deb80,ciscoSystems
185.173.234.17,f5717f444ca8c41efb00,4,21002151,1970372420.0,No Mac indication (0x03),
185.199.190.171,8000000903006cb2ae355848,11,5557389,9.0,006cb2ae355848,ciscoSystems
185.52.53.209,800007c703cc4e24157df8,28,36016883,1991.0,cc4e24157df8,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
185.190.67.69,800063a280ec9b8b8dc8b000000001,2,193874364,25506.0,No Mac indication (0x03),H3C
185.62.117.79,000000090300cced4dbbb7d0,3,7067201,9.0,not_set,ciscoSystems
185.143.158.98,80000009030000c88bfbdd00,8,41004000,9.0,0000c88bfbdd00,ciscoSystems
159.100.95.233,80000009030044b6be74fa00,42,2150993,9.0,0044b6be74fa00,ciscoSystems
185.254.42.14,800000090300f872eac14826,1,2080950,9.0,00f872eac14826,ciscoSystems
185.42.85.55,80000009030000a2eea92300,36,54526709,9.0,0000a2eea92300,ciscoSystems
185.47.132.1,80000a4c012d953406,9,6072328,2636.0,No Mac indication (0x03),"Juniper Networks, Inc."
185.51.57.22,80000634b20400001014ccd196,2,122961232,1588.0,No Mac indication (0x03),"Brocade Communications Systems, Inc."
185.254.42.82,800000090300bc166551fb50,1,7097358,9.0,00bc166551fb50,ciscoSystems
185.254.42.59,8000000903006c416a8e710c,1,102208614,9.0,006c416a8e710c,ciscoSystems
178.162.170.27,80001f8880a5f9407f5c63035c00000000,49,5039854,8072.0,No Mac indication (0x03),net-snmp
185.133.36.212,80003a8c04,0,0,,invalid,
