ip.src_host,snmp.msgAuthoritativeEngineID,snmp.msgAuthoritativeEngineBoots,snmp.msgAuthoritativeEngineTime,Enterprise code,Mac
83.87.155.63,80000b2f05d0b2c427d93133,1,4063511,2863,No Mac indication (0x03)
80.65.121.77,8000000903000c27247ad981,14,29401701,9,000c27247ad981
83.82.150.213,8000124c0570778172c5f633,197,139473,4684,No Mac indication (0x03)
77.243.226.129,8000000903000005740fb2bc,8,191948060,9,000005740fb2bc
85.146.253.142,8000000903003cce73b85a81,10,126495442,9,003cce73b85a81
81.173.98.89,0000000903008478ac4278d7,32,39358368,9,not_set
46.249.41.1,80003a8c04,0,0,invalid,invalid
85.147.107.250,8000124c05acd1b845b83733,50,1093935,4684,No Mac indication (0x03)
85.146.248.75,800007db035413101ab36d,14,1645479,2011,5413101ab36d
80.112.196.129,8000000903009077eefd3c80,30,63558924,9,009077eefd3c80
46.144.34.49,800000090300706d15533d9e,1,23972879,9,00706d15533d9e
81.173.54.221,800007db0360def3be2bba,28,27672699,2011,60def3be2bba
83.137.140.177,8000000903005c64f1af3800,18,3522086,9,005c64f1af3800
37.139.137.23,80000a4c01b2d95005,3,15856979,2636,No Mac indication (0x03)
77.242.120.251,80000009030028ac9e770180,14,66372499,9,0028ac9e770180
81.173.50.65,80000009030074ad98235080,8,50205944,9,0074ad98235080
45.152.39.251,8000000903700f6ab14dfc,0,0,9,700f6ab14dfc
62.194.6.0,80000009030000ebd5ed6800,13,28296161,9,0000ebd5ed6800
84.107.202.143,80000b2f05d0b2c425499133,1,239934,2863,No Mac indication (0x03)
45.157.35.18,80003a8c04,0,0,invalid,invalid
82.139.79.255,000000090200003096e6a400,11,4010388,9,not_set
37.46.112.124,80001f8880b987e710d70c776500000000,41,3679662,8072,No Mac indication (0x03)
83.80.25.193,800000090300a411bbc0cb00,2,67142589,9,00a411bbc0cb00
84.241.138.69,80001f8880a730ff5a71bc4363,18,10166086,8072,No Mac indication (0x03)
5.132.21.0,502660000000010030000143,6,49984626,1344692224,not_set
82.74.214.3,80003a8c04,0,0,invalid,invalid
85.146.223.180,8000000903006c5e3b184301,3,167010289,9,006c5e3b184301
84.14.61.190,800000090300188090e37800,20,98816725,9,00188090e37800
37.26.226.39,800000090300848a8dbc4650,6,60926282,9,00848a8dbc4650
83.167.204.17,8000000903007411b2a71d00,20,36309047,9,007411b2a71d00
5.79.107.172,80001f888083b960046f1d526100000000,8,80879487,8072,No Mac indication (0x03)
46.231.244.199,80000009030000df1d7b7f80,16,14608442,9,0000df1d7b7f80
23.249.236.155,800000090300bc16651a2804,3,39204845,9,00bc16651a2804
31.160.18.119,80000009030084b26155e418,3,88621782,9,0084b26155e418
31.149.141.81,8000000903004c776d569f52,2,30837545,9,004c776d569f52
83.86.98.217,8000124c05889ffaca52a033,10,1902525,4684,No Mac indication (0x03)
37.235.119.167,800000090300d4eb68db1800,8,97987904,9,00d4eb68db1800
83.84.225.1,8000000903006c410e51c800,53,9103292,9,006c410e51c800
31.186.165.75,00000009030010b3d6dc3c70,12,91807669,9,not_set
83.83.240.255,800000090300002790fe2000,20,30114178,9,00002790fe2000
85.146.199.106,800007db03d8109fc2e93c,55,1756716,2011,d8109fc2e93c
83.86.107.24,8000124c05906ebbe605bc33,199,2706075,4684,No Mac indication (0x03)
84.241.172.193,80000009030000c88b2c9b00,15,71415364,9,0000c88b2c9b00
85.146.216.113,800000090300f8a73ad3b400,12,47006804,9,00f8a73ad3b400
84.25.128.1,800000090300d4ad710dc800,12,27085591,9,00d4ad710dc800
23.249.238.113,0000000903005c3e06c2abe6,9,24582014,9,not_set
46.144.186.225,80000009030000351a2555f4,1,60761994,9,0000351a2555f4
84.28.169.29,80000b2f0580299419329933,1,2958491,2863,No Mac indication (0x03)
31.149.226.168,8000000903006cb2aed26dee,4,20048194,9,006cb2aed26dee
81.173.65.25,0000000903008478ac4278d7,32,39358378,9,not_set
80.113.211.177,8000000903008c941fbb0700,11,78143012,9,008c941fbb0700
80.115.111.85,8000124c053c77e66c6e6733,271,1482937,4684,No Mac indication (0x03)
78.108.132.75,800000090300f04a02f92a00,24,10937127,9,00f04a02f92a00
