IP,EngineID,Engine Boots,Engine Time,Enterprise Code,MAC,Vendor
145.33.250.116,80000009030020dbea10c160,6,168936,9.0,0020dbea10c160,ciscoSystems
145.62.80.0,800000090300f07f0699c7bf,8,219388318,9.0,00f07f0699c7bf,ciscoSystems
145.23.254.124,800000090300b8a3770c0780,14,7709180,9.0,00b8a3770c0780,ciscoSystems
145.22.254.3,80003a8c04,0,0,,invalid,
145.33.250.92,80000009030020dbea10c160,6,169044,9.0,0020dbea10c160,ciscoSystems
145.14.8.5,80000009030000d78f9d7900,8,102325476,9.0,0000d78f9d7900,ciscoSystems
145.22.254.147,80003a8c04,0,0,,invalid,
145.53.58.198,800022250318b169a06494,18,2320767,8741.0,18b169a06494,"SonicWALL, Inc."
145.62.64.1,800000090300fc5b39db65ff,6,319163925,9.0,00fc5b39db65ff,ciscoSystems
145.33.250.102,80000009030020dbea10c020,8,186677,9.0,0020dbea10c020,ciscoSystems
145.14.14.2,80000009030000d78f816200,9,102327167,9.0,0000d78f816200,ciscoSystems
145.33.250.69,80000009030020dbea10c160,6,169246,9.0,0020dbea10c160,ciscoSystems
145.22.254.1,80003a8c04,0,0,,invalid,
145.32.30.241,800063a203b8af67f5516b,47,158307432,25506.0,b8af67f5516b,H3C
