IP,Enterprise Code,MAC,Vendor
92.64.68.133,8072,No Mac indication (0x03),net-snmp
93.117.216.137,9,00341b2d695400,ciscoSystems
149.143.17.170,9,00588b1c9dc080,ciscoSystems
94.142.208.191,9,00500f8054cd80,ciscoSystems
92.64.93.209,invalid,invalid,
87.212.49.0,1344692224,not_set,
87.210.172.1,1344692224,not_set,
91.215.6.255,9,00286f7f43b600,ciscoSystems
92.65.18.8,9,00d8b1904ef238,ciscoSystems
92.64.150.137,2636,No Mac indication (0x03),"Juniper Networks, Inc."
145.11.62.0,9,005c5ac7f98500,ciscoSystems
87.213.243.3,9,007426ac74ed00,ciscoSystems
145.131.254.254,9,00286f7f5edb18,ciscoSystems
91.227.144.98,8072,No Mac indication (0x03),net-snmp
94.231.244.1,9,000021d8bde810,ciscoSystems
151.236.146.150,9,00002cc88f69ed,ciscoSystems
87.195.105.0,9,00001794197c44,ciscoSystems
144.178.233.236,9,0070df2ffb18a1,ciscoSystems
92.66.73.223,9,0058ac7831edda,ciscoSystems
92.110.28.255,9,000029c2017000,ciscoSystems
95.98.196.1,1344692224,not_set,
94.209.124.67,2863,No Mac indication (0x03),Thomson Inc.
94.101.104.40,9,0070db986d2600,ciscoSystems
92.64.3.4,9,0070ea1ab238d6,ciscoSystems
89.188.29.6,9,00503de580da81,ciscoSystems
89.200.99.91,8072,No Mac indication (0x03),net-snmp
88.85.82.193,2636,88a25ee65600,"Juniper Networks, Inc."
93.186.190.100,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
92.68.117.71,9,0070db98834be8,ciscoSystems
145.224.97.213,8072,1056ca1b886c,net-snmp
92.64.1.56,9,0084b802a4b4fe,ciscoSystems
145.128.243.210,9,No Mac indication (0x03),ciscoSystems
94.209.22.0,9,006c410e8fb800,ciscoSystems
94.208.95.198,4684,No Mac indication (0x03),Ambit Microsystems Corporation
103.104.62.2,2636,No Mac indication (0x03),"Juniper Networks, Inc."
109.109.112.0,9,00a0e0af94e500,ciscoSystems
92.66.73.179,9,005488de73a480,ciscoSystems
92.65.184.113,9,00002cc802fd10,ciscoSystems
109.109.101.33,9,00b0c53ce4b580,ciscoSystems
92.70.74.190,8072,No Mac indication (0x03),net-snmp
92.111.59.158,8072,No Mac indication (0x03),net-snmp
94.103.144.6,9,00001a6c6324b0,ciscoSystems
92.64.55.183,9,00c46413e05ad4,ciscoSystems
109.109.117.159,9,0028affd10b000,ciscoSystems
88.211.134.159,2011,80b57553f757,"HUAWEI Technology Co.,Ltd"
89.146.44.177,9,0034b8831acf00,ciscoSystems
94.142.212.236,9,0058ac78269080,ciscoSystems
147.75.86.95,1240404047,not_set,
91.232.114.164,9,00b0aa7727b000,ciscoSystems
93.117.238.115,13191,70fc8c16124e,OneAccess
92.64.173.15,9,005488debd2680,ciscoSystems
94.142.209.137,9,0070e422eb0b00,ciscoSystems
109.109.109.236,9,00b0c53ce4b580,ciscoSystems
87.213.160.42,9,001c17d3beb140,ciscoSystems
109.235.35.25,9,000476b0455500,ciscoSystems
109.109.100.128,9,0028affd10b000,ciscoSystems
145.131.142.179,9,002c5741b5ac00,ciscoSystems
93.186.185.177,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
92.71.241.214,8072,No Mac indication (0x03),net-snmp
109.39.161.4,9,0070708b6f2d00,ciscoSystems
93.191.1.80,9,0000c164ac70c8,ciscoSystems
92.121.3.3,9,4c776dd576f0,ciscoSystems
89.20.80.161,8072,No Mac indication (0x03),net-snmp
94.228.128.37,9,00a80c0df1cf50,ciscoSystems
94.142.212.31,9,0058ac78268c80,ciscoSystems
94.210.25.130,4684,No Mac indication (0x03),Ambit Microsystems Corporation
145.220.141.131,8072,No Mac indication (0x03),net-snmp
134.19.178.145,2636,0c599c5c6200,"Juniper Networks, Inc."
