IP,Enterprise Code,MAC,Vendor
85.146.229.231,2011,a0a33b3d96cb,"HUAWEI Technology Co.,Ltd"
81.24.104.49,9,No Mac indication (0x03),ciscoSystems
81.23.245.138,2011,18ded7a7d3b1,"HUAWEI Technology Co.,Ltd"
84.30.58.1,9,00848a8df19400,ciscoSystems
80.113.232.109,8072,No Mac indication (0x03),net-snmp
85.222.242.236,9,00a46c2ac4458e,ciscoSystems
31.160.170.105,9,004c776da59be8,ciscoSystems
46.144.79.135,9,005cb12e82a980,ciscoSystems
80.247.174.33,9,d0e042adaf40,ciscoSystems
84.104.88.1,9,007018a7665c00,ciscoSystems
68.183.6.43,8072,No Mac indication (0x03),net-snmp
23.249.237.140,9,00588b1c9c7500,ciscoSystems
84.27.6.0,9,00f8b7e204e000,ciscoSystems
83.86.53.0,9,00002790ffc800,ciscoSystems
77.61.15.210,9,002cf89b4ba26a,ciscoSystems
77.243.228.66,11,not_set,Hewlett-Packard
85.146.238.18,9,007411b2a71300,ciscoSystems
84.30.74.147,4684,No Mac indication (0x03),Ambit Microsystems Corporation
80.113.69.104,9,0000083271e881,ciscoSystems
84.246.29.50,9,00f872ea514ff0,ciscoSystems
62.25.47.241,9,0000c164e0625c,ciscoSystems
46.229.171.254,9,6cb2ae601510,ciscoSystems
77.60.34.103,9,00dcf719930aa0,ciscoSystems
83.86.81.1,9,000029c200b800,ciscoSystems
83.81.136.51,2863,No Mac indication (0x03),Thomson Inc.
45.138.124.196,8072,No Mac indication (0x03),net-snmp
46.144.129.9,9,00e4387ed9cd80,ciscoSystems
83.82.27.0,9,00285261293c00,ciscoSystems
77.60.234.65,12356,No Mac indication (0x03),"Fortinet, Inc."
85.146.224.141,2011,20283e74c206,"HUAWEI Technology Co.,Ltd"
81.29.193.203,9,00780cf032f900,ciscoSystems
46.144.61.224,9,00004268d3efc2,ciscoSystems
5.200.11.129,1991,609c9f4a089c,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
83.174.136.185,9,00f872ea1d25fe,ciscoSystems
31.3.10.55,9,003c5731684280,ciscoSystems
64.26.45.216,9,00588b1c9d2380,ciscoSystems
83.167.222.141,13191,70fc8c16181c,OneAccess
80.113.211.168,9,00000832703001,ciscoSystems
85.12.58.35,1970372420,No Mac indication (0x03),
82.73.186.203,4684,No Mac indication (0x03),Ambit Microsystems Corporation
77.242.125.192,9,00ecbd1dc65b00,ciscoSystems
45.9.53.2,9,00084fa9955100,ciscoSystems
31.149.138.199,9,0070695aa6ff78,ciscoSystems
84.26.139.255,9,006c410e8fd800,ciscoSystems
84.246.2.231,9,0068efbd8c4b20,ciscoSystems
37.0.86.65,9,0040b5c12ea100,ciscoSystems
84.25.10.1,9,006c410e51c800,ciscoSystems
77.61.32.57,9,00f40f1bc638ac,ciscoSystems
80.113.26.103,9,0004bd977eff80,ciscoSystems
31.149.138.127,9,00c4f7d52387ca,ciscoSystems
77.243.229.16,9,000005740fb2bc,ciscoSystems
64.26.36.62,9,not_set,ciscoSystems
80.113.98.215,9,00084fa9883880,ciscoSystems
77.60.246.159,9,00700b4f4859e4,ciscoSystems
81.173.62.224,9,0044d3ca88f252,ciscoSystems
83.172.129.255,9,00001c58b1f618,ciscoSystems
46.144.45.249,9,00007888acb40c,ciscoSystems
82.75.96.0,9,000029c2018000,ciscoSystems
37.153.226.104,9,002436daeac380,ciscoSystems
37.1.107.68,8072,No Mac indication (0x03),net-snmp
81.23.227.25,2636,No Mac indication (0x03),"Juniper Networks, Inc."
83.82.225.235,4684,No Mac indication (0x03),Ambit Microsystems Corporation
77.242.119.193,9,006c8d771ab500,ciscoSystems
85.146.240.41,9,005c64f1f21980,ciscoSystems
83.167.217.45,9,00889cadf7b480,ciscoSystems
81.173.53.191,2011,488eef4481c1,"HUAWEI Technology Co.,Ltd"
82.217.150.193,4684,No Mac indication (0x03),Ambit Microsystems Corporation
46.166.158.201,invalid,invalid,
31.160.180.201,9,00f8c650751310,ciscoSystems
85.146.212.161,9,0044b6be9dcb00,ciscoSystems
78.108.132.221,9,00a00f37ff4500,ciscoSystems
81.4.112.161,9,00001873b8540c,ciscoSystems
83.83.161.186,4684,No Mac indication (0x03),Ambit Microsystems Corporation
80.247.175.1,9,d0e042adaf40,ciscoSystems
31.160.227.183,9,0070db988346c0,ciscoSystems
46.144.81.89,9,005c3e069aac80,ciscoSystems
31.3.8.64,9,0070e422eb0d00,ciscoSystems
84.30.76.212,4684,No Mac indication (0x03),Ambit Microsystems Corporation
77.94.245.168,9,0030e4db111f20,ciscoSystems
31.160.167.1,9,0000fcbaf5dbdc,ciscoSystems
37.26.230.230,9,00c828e5ca0381,ciscoSystems
62.23.254.202,9,No Mac indication (0x03),ciscoSystems
83.81.112.79,2863,No Mac indication (0x03),Thomson Inc.
85.147.57.255,9,0028526128e400,ciscoSystems
81.201.127.73,9,00780cf032f900,ciscoSystems
83.174.129.167,9,00b838612973a0,ciscoSystems
84.28.128.208,2863,No Mac indication (0x03),Thomson Inc.
85.146.241.137,9,005ca62dff2400,ciscoSystems
31.201.7.39,9,not_set,ciscoSystems
31.21.172.255,1344692224,not_set,
85.146.254.222,9,007cad74453964,ciscoSystems
81.173.49.116,invalid,invalid,
80.113.34.241,9,0078f1c68e6d80,ciscoSystems
85.12.48.2,1970372420,No Mac indication (0x03),
46.144.58.121,9,00286f7f12a14a,ciscoSystems
82.197.208.1,2352,No Mac indication (0x03),"Ericsson, Inc. (formerly 'RedBack Networks')"
80.113.8.240,9,005451de457180,ciscoSystems
46.144.73.79,9,0000f28bb5058a,ciscoSystems
83.167.219.46,9,0044b6be757a00,ciscoSystems
84.241.168.66,9,0000c88b2c9b00,ciscoSystems
31.160.8.143,9,00e4387ed80600,ciscoSystems
77.250.151.1,9,0000ebd5ec4400,ciscoSystems
83.126.40.34,232,No Mac indication (0x03),Compaq
83.86.70.255,9,00285261fb4800,ciscoSystems
81.173.78.167,2011,40eeddb2fcc9,"HUAWEI Technology Co.,Ltd"
46.44.177.80,9,003c08f642e6f0,ciscoSystems
78.108.138.96,9,00ec447630f483,ciscoSystems
31.160.142.127,9,0010b3d6d8d100,ciscoSystems
31.20.205.0,1344692224,not_set,
46.243.188.39,9,0000fcba573600,ciscoSystems
81.173.57.144,9,0080e01d8e91b0,ciscoSystems
83.84.85.0,9,006c410e8fb800,ciscoSystems
85.146.210.21,9,00889cadfaf080,ciscoSystems
31.149.45.223,9,00e4a41c067300,ciscoSystems
83.84.91.255,9,00f4bd9ee39c00,ciscoSystems
31.3.11.98,1991,609c9f795860,"Brocade Communication Systems, Inc. (formerly 'Foundry Networks, Inc.')"
84.104.230.255,9,00002790fe1000,ciscoSystems
85.12.0.194,1970372392,No Mac indication (0x03),
46.144.90.223,9,005cb12e923b00,ciscoSystems
46.144.199.129,9,00e86549758546,ciscoSystems
31.187.130.255,1344692224,not_set,
37.74.195.135,8072,1056caf1bf00,net-snmp
31.149.157.0,9,00c4f7d516372c,ciscoSystems
82.139.79.1,9,not_set,ciscoSystems
2.58.164.41,8072,No Mac indication (0x03),net-snmp
62.200.121.65,9,0010b3c65f8100,ciscoSystems
84.106.35.172,4684,No Mac indication (0x03),Ambit Microsystems Corporation
45.129.172.244,4413,bca511c1f047,Broadcom Limited
81.30.42.54,9,0000235d4cd103,ciscoSystems
45.152.39.194,9,003a9c8ef500,ciscoSystems
80.242.233.30,8072,No Mac indication (0x03),net-snmp
83.82.158.121,2863,No Mac indication (0x03),Thomson Inc.
31.20.162.1,1344692224,not_set,
84.106.234.37,4684,No Mac indication (0x03),Ambit Microsystems Corporation
84.104.5.1,9,00285261fb4800,ciscoSystems
80.67.32.115,9,00641225788007,ciscoSystems
85.209.109.211,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
83.174.135.92,9,00588b1c9c8300,ciscoSystems
83.83.84.217,2863,No Mac indication (0x03),Thomson Inc.
23.249.232.85,9,0028940fc93a02,ciscoSystems
80.113.25.63,9,00ece1a9157183,ciscoSystems
83.81.31.255,9,00285261fa5000,ciscoSystems
46.144.124.137,9,00380e4d4ab8ac,ciscoSystems
77.61.129.216,9,00cc46d60ada1a,ciscoSystems
77.60.16.95,8072,No Mac indication (0x03),net-snmp
37.74.71.25,9,006cd6e378d880,ciscoSystems
80.246.207.111,9,not_set,ciscoSystems
46.102.225.169,9,0000a38ec92b40,ciscoSystems
85.222.197.63,8072,No Mac indication (0x03),net-snmp
85.17.27.255,9,00001907026f40,ciscoSystems
37.97.239.130,8072,No Mac indication (0x03),net-snmp
83.82.106.0,9,000029c201b800,ciscoSystems
81.173.54.157,9,00706d15414990,ciscoSystems
83.86.70.1,9,00285261fb4800,ciscoSystems
37.0.81.207,9,005c710d078d00,ciscoSystems
83.167.204.49,9,006cab05047980,ciscoSystems
46.144.161.112,9,00b08bcf2c43c4,ciscoSystems
80.112.24.204,4684,No Mac indication (0x03),Ambit Microsystems Corporation
46.23.83.237,1970372468,No Mac indication (0x03),
83.167.197.21,13191,70fc8c5448b0,OneAccess
82.217.177.255,9,00285261fb4800,ciscoSystems
77.60.193.244,9,00f44e055c39b0,ciscoSystems
84.207.218.22,9,00501cb0ea4530,ciscoSystems
83.86.167.0,9,006c410e153000,ciscoSystems
46.231.16.13,1588,No Mac indication (0x03),"Brocade Communications Systems, Inc."
84.35.54.47,9,0010b3d58b0300,ciscoSystems
84.25.223.1,9,006c410e153000,ciscoSystems
83.82.196.141,2863,No Mac indication (0x03),Thomson Inc.
83.98.137.38,8072,No Mac indication (0x03),net-snmp
5.255.81.254,232,No Mac indication (0x03),Compaq
80.113.47.34,8072,No Mac indication (0x03),net-snmp
46.44.184.254,9,00a0ecf94c0070,ciscoSystems
83.84.207.0,9,00285261fb6400,ciscoSystems
64.26.36.117,9,00588b1c9d0600,ciscoSystems
62.45.44.247,9,007081055f0a60,ciscoSystems
83.167.206.201,9,004ce175e9e100,ciscoSystems
85.146.204.65,13191,70fc8c6770a0,OneAccess
63.247.201.238,9,00e069babdd181,ciscoSystems
85.17.216.253,9,00000911e71d08,ciscoSystems
83.86.98.255,9,006c410e152c00,ciscoSystems
77.243.230.223,9,000005740fb2bc,ciscoSystems
45.87.40.12,9,00a09351787280,ciscoSystems
84.241.191.254,9,5cb12e63fdf8,ciscoSystems
81.173.57.135,9,00c067af3580ae,ciscoSystems
37.235.117.113,9,00649ef3126dc0,ciscoSystems
81.85.161.27,9,00b0faeb8afc60,ciscoSystems
85.145.129.1,1344692224,not_set,
64.26.45.52,8072,No Mac indication (0x03),net-snmp
83.84.203.183,2863,No Mac indication (0x03),Thomson Inc.
31.223.166.79,9,00b8a37746c200,ciscoSystems
37.26.224.72,9,not_set,ciscoSystems
37.235.112.16,9,0000077da195e0,ciscoSystems
46.44.141.27,9,00c4f7d5b38080,ciscoSystems
84.25.233.18,4684,No Mac indication (0x03),Ambit Microsystems Corporation
83.81.13.164,4684,No Mac indication (0x03),Ambit Microsystems Corporation
81.30.43.142,9,004800b32e2100,ciscoSystems
84.27.30.0,9,000029c2016c00,ciscoSystems
45.137.205.122,8072,No Mac indication (0x03),net-snmp
81.23.246.0,9,not_set,ciscoSystems
45.9.172.146,9,00a00f37eeab80,ciscoSystems
84.25.226.0,9,006c410e152c00,ciscoSystems
80.112.49.255,9,00002790fee000,ciscoSystems
31.160.74.153,9,002cd02d11f29c,ciscoSystems
37.74.126.199,9,0084b2618d14a8,ciscoSystems
83.86.218.1,9,00a0f8496a1800,ciscoSystems
85.146.200.217,9,007c210e037200,ciscoSystems
37.1.104.201,9,00c08c609537f2,ciscoSystems
31.160.126.71,9,0084b2613c5a18,ciscoSystems
62.59.192.215,9,00a47806b57400,ciscoSystems
83.174.140.248,9,0078da6e2e8b80,ciscoSystems
85.222.249.186,9,0024161ba0d480,ciscoSystems
85.146.225.113,9,005ca62dff2e80,ciscoSystems
85.146.234.179,9,00a47806eb9e00,ciscoSystems
46.38.210.97,9,000476b0850a00,ciscoSystems
83.98.252.103,9,00482e72fe6980,ciscoSystems
